num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,20,3,524,638,1602,1707,0.00,7,0.833418801362855,1.2103865228861985,-0.42857142857142855,-0.42857142857142855,0.14285714285714285,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7142857142857143,1.0,524_525_527_528_577_617_638,1602_1604_1607_1609_1653_1674_1707,0.884916059631476_0.735141911813512_0.6529987780201_1.92672255901755_0.719236623259927_0.833418801362855_2.72027092709797,0.06086956521739131,0.0660377358490566,0,0,0
2,20,3,608,524,2024,2093,0.00,7,1.68400156905958,2.0174207608583896,-0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0,608_605_595_588_574_571_524,2024_2027_2030_2047_2076_2085_2093,1.98885786208451_1.1804998438923_4.13038318252507_1.45536143171036_1.9126417064088_1.4367805385293_-2.0,0.08235294117647059,0.1,0,0,0
3,20,3,608,508,538,685,0.00,5,1.45689476431206,1.4325809242858083,-0.25,-0.25,0.25,0.5,0.75,0.75,1.0,1.0,608_589_575_554_508,538_585_597_646_685,2.5566451908058_0.398162702107942_1.1196348897467_1.63156707445654_1.45689476431206,0.04950495049504951,0.033783783783783786,0,0,0
4,20,3,636,546,4208,4323,0.00,5,1.50261313014484,1.4463866208139795,-0.5,-0.25,-0.25,0.25,0.5,0.75,0.75,1.0,636_635_633_596_546,4208_4230_4264_4293_4323,-2.0_0.757331891826328_1.59381226460318_1.4114139956865_2.02298833113991,0.054945054945054944,0.04310344827586207,0,0,0
5,20,3,466,490,2167,2226,0.00,4,1.16070105363293,1.2246256956947192,0.0,0.0,0.0,0.5,0.75,0.75,0.75,1.0,466_475_487_490,2167_2191_2195_2226,0.783408800548378_1.16070105363293_-2.0_1.72976723290285,0.16,0.06666666666666667,0,0,0
6,20,3,508,515,956,1033,0.03,4,1.922724096628645,1.925216719068041,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,508_509_513_515,956_986_1027_1033,2.89067318001703_0.964745502997844_2.04037685196182_1.80507134129547,0.5,0.05128205128205128,0,0,0
7,20,4,465,739,1890,2125,0.00,56,1.07017971079717,1.251137356024365,0.5714285714285714,0.875,0.9285714285714286,0.9285714285714286,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9821428571428571,465_483_497_503_512_513_518_519_520_522_528_530_532_536_539_541_546_553_556_558_560_565_567_571_577_582_588_592_614_617_619_635_638_639_642_643_655_657_659_660_662_663_668_671_678_681_682_689_696_701_704_715_720_721_724_739,1890_1903_1911_1916_1919_1923_1924_1925_1926_1927_1930_1933_1934_1937_1939_1940_1941_1944_1946_1949_1951_1962_1964_1978_1987_1991_2000_2007_2014_2017_2019_2035_2036_2038_2039_2040_2048_2049_2051_2052_2055_2056_2059_2062_2064_2065_2067_2073_2087_2092_2096_2102_2104_2106_2108_2125,1.15079982359721_1.19836187748787_1.28628867045611_0.857213933643411_0.994540153008836_2.50324970421104_0.527957397565729_0.643440864382348_2.34168674188433_1.36281932145955_1.78412292794504_1.00706121493552_0.859161725986819_1.26948094628346_1.51802662807916_0.670895451021185_0.795512692987957_1.96493271239705_1.03670022708743_-2.0_0.791117675417296_1.51931066328199_0.675288816463827_1.69088961149802_0.919557696457798_1.92500631733881_1.42291337059295_1.07017971079717_1.18674969123433_0.683668152973704_1.27795744741585_0.501650887534717_0.744275406450415_1.8760769638044_1.69936717025925_0.964078050509781_1.0879694543042_0.897889241596078_0.438200580684504_0.88875490216609_0.914442768368192_0.658718480823897_5.16917660049228_1.47694778656471_1.56434411982031_0.954337827458701_1.56971318555202_1.52406796211314_1.72051391943211_0.362966136144624_1.00351636083202_1.82681273234836_1.23549861403449_1.065903631923_0.921499062687229_0.810940567543763,0.20363636363636364,0.23728813559322035,0,0,0
8,20,4,463,326,2299,2370,0.00,16,1.008021735692195,1.0046379506255625,0.6666666666666666,0.8,0.8666666666666667,0.9333333333333333,1.0,1.0,1.0,1.0,463_462_452_444_443_436_431_428_411_405_401_389_383_382_372_326,2299_2300_2307_2310_2312_2325_2326_2327_2334_2340_2343_2351_2353_2355_2367_2370,1.19604258156007_0.725366777236598_1.00027248587173_1.13925817159114_1.49448358765217_1.32448233280965_0.847347145844399_1.555343653965_1.5929665605923_0.585688264579867_1.01577098551266_1.02312860394095_0.791239410785055_0.471947888884187_0.718372687736609_0.592496071446612,0.11594202898550725,0.2222222222222222,0,0,0
9,20,4,52,5,1430,1652,0.00,10,1.419237909308655,1.6726907667721727,0.6666666666666666,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,52_49_46_38_28_26_20_17_13_5,1430_1457_1477_1520_1539_1541_1577_1594_1602_1652,2.0381337736322_1.2442680486487_2.63313997097974_0.570649903727924_1.33536086564275_1.87781073456303_1.17071750110507_3.32509760249665_1.0286143139511_1.50311495297456,0.20833333333333334,0.04484304932735426,0,0,0
10,20,4,79,121,2131,2283,0.00,7,1.23861096842362,1.2950959919232463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,79_80_100_109_114_117_121,2131_2180_2209_2233_2264_2281_2283,1.32929539211303_0.587902647268024_1.9610209736559_0.7998649657209_2.09806041128912_1.05091658499213_1.23861096842362,0.16279069767441862,0.0457516339869281,0,0,0
11,20,4,182,79,1798,1903,0.00,7,1.32220103613796,1.3338149174652993,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,182_171_144_143_133_129_79,1798_1823_1854_1856_1886_1896_1903,1.3759792246754_1.36500660856131_1.32220103613796_2.25087742427292_1.16792757379227_0.920589480817219_0.934123074000017,0.0673076923076923,0.0660377358490566,0,0,0
12,20,4,466,349,3328,3390,0.00,7,1.14428970002304,1.0732703846431966,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,466_418_406_399_393_390_349,3328_3347_3363_3376_3378_3383_3390,0.507240418387649_1.25801832090355_0.93303661801604_1.03056107914253_1.35794807604123_1.35281779536818_-2.0,0.059322033898305086,0.1111111111111111,0,0,0
13,20,4,299,186,1661,1736,0.00,5,1.627571784072265,1.8483862668137698,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,299_260_237_233_186,1661_1681_1694_1695_1736,1.27442632875335_-2.0_2.8639751703572_1.58534493698251_1.66979863116202,0.043859649122807015,0.06578947368421052,0,0,0
14,20,4,150,221,1430,1544,0.00,4,1.483989950679585,1.2563635408719667,-0.25,0.0,0.5,0.5,0.75,0.75,1.0,1.0,150_174_213_221,1430_1468_1499_1544,1.70764643845825_1.38238457660836_1.58559532475081_0.349827823670447,0.05555555555555555,0.034782608695652174,0,0,0
15,20,4,271,326,916,971,0.00,4,0.802496501583902,0.9702692491446641,0.25,0.75,0.75,0.75,0.75,1.0,1.0,1.0,271_292_318_326,916_934_937_971,0.556326037611532_0.960427209808334_1.71975795579932_0.64456579335947,0.07142857142857142,0.07142857142857142,0,0,0
16,20,5,96,121,1241,1316,0.00,8,1.4178869901169748,1.6622744051689944,0.5,0.75,0.75,0.875,0.875,0.875,0.875,1.0,96_97_98_101_106_112_118_121,1241_1246_1251_1270_1291_1311_1312_1316,0.985533615574816_1.7913660536294_2.17044627825825_1.32689452096175_1.06645047309987_1.43722904378394_3.12173031959392_1.39854493645001,0.3076923076923077,0.10526315789473684,0,0,0
17,20,5,125,197,1994,2141,0.00,7,1.12805804758221,1.3422626060914484,-0.14285714285714285,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.8571428571428571,1.0,1.0,1.0,125_129_132_149_150_182_197,1994_2011_2018_2052_2096_2133_2141,1.07303083675324_1.12805804758221_1.10842047114576_1.61324449111126_1.93125507675008_1.60744264020261_0.934386679094979,0.0958904109589041,0.0472972972972973,0,0,0
18,20,5,45,190,459,549,0.00,5,1.075517234941441,1.7352940482755965,-0.4,-0.2,0.2,0.6,0.6,0.6,0.8,1.0,45_86_129_151_190,459_461_489_538_549,-2.0_0.914859801626364_0.974657996663242_3.87528192159314_1.17637647321964,0.03424657534246575,0.054945054945054944,0,0,0
