A1:Ac1:0-776:Sb1:901-1360	A1:Ac1:0-537:Sb2:3461-4092
A2:Ac1:716-1802:Sb3:3672-4404	A2:Ac1:847-1802:Sb9:1309-2687
A1:Ac1:95-418:Sb1:3383-3775
A3:Ac2:0-1263:Sb2:1790-2643	A3:Ac2:0-1263:Sb7:1254-2373
A4:Ac3:0-1278:Sb4:2205-3207	A4:Ac3:0-1278:Sb6:1365-2253
A5:Ac4:0-1286:Sb3:1241-1564	A5:Ac4:0-1286:Sb9:0-1412
A6:Ac5:0-598:Sb4:627-1629	A6:Ac5:0-466:Sb10:1464-2095
A7:Ac5:418-754:Sb2:2404-3171	A7:Ac5:418-1005:Sb7:1542-2102
A8:Ac6:0-1083:Sb4:2205-3784	A8:Ac6:0-1083:Sb10:0-1788
A9:Ac7:0-597:Sb1:901-1921	A9:Ac7:0-585:Sb8:1276-2026
A10:Ac7:405-824:Sb2:3222-3836	A10:Ac7:608-1098:Sb7:1474-1932
A11:Ac7:1002-1182:Sb3:3213-3537	A11:Ac7:931-1182:Sb9:1751-2092
A12:Ac8:0-1105:Sb1:1598-3673	A12:Ac8:0-1105:Sb1:3978-5730
A13:Ac9:0-1138:Sb1:0-833	A13:Ac9:0-1138:Sb2:0-3478
A14:Ac10:0-886:Sb3:0-1139	A14:Ac10:0-886:Sb9:425-1122
A15:Ac11:0-911:Sb3:2414-3163	A15:Ac11:0-911:Sb9:1853-2160
A16:Ac12:0-345:Sb1:0-816	A16:Ac12:0-250:Sb2:682-1108
A17:Ac12:321-691:Sb5:1465-2300	A17:Ac12:333-726:Sb8:766-1328
A18:Ac13:0-823:Sb5:0-2436	A18:Ac13:0-823:Sb8:0-2026
A19:Ac14:0-384:Sb6:2133-2509:1	A19:Ac14:0-408:Sb7:542-1373
A20:Ac14:311-527:Sb3:1241-1683	A20:Ac14:335-551:Sb9:935-1395
A21:Ac14:695-923:Sb2:1415-1807	A21:Ac14:659-923:Sb7:1898-2373
A22:Ac15:0-900:Sb1:4420-5220	A22:Ac15:0-900:Sb2:3495-4041
A23:Ac16:0-758:Sb3:1904-2381	A23:Ac16:0-758:Sb9:2312-2687
A24:Ac17:0-875:Sb5:357-1567	A24:Ac17:0-875:Sb8:289-1141
A25:Ac18:0-850:Sb1:3689-4574	A25:Ac18:0-850:Sb2:3785-4416
A26:Ac19:0-735:Sb4:356-984	A26:Ac19:0-735:Sb10:1515-2588
A27:Ac20:214-752:Sb4:1832-2257	A27:Ac20:0-752:Sb6:955-1553
A28:Ac21:0-771:Sb4:1323-2342	A28:Ac21:0-771:Sb6:0-1519
A29:Ac22:0-383:Sb4:0-305	A29:Ac22:0-371:Sb10:0-375
A30:Ac22:442-778:Sb4:3359-3784	A30:Ac22:359-778:Sb10:2656-2946
A31:Ac23:0-358:Sb3:3264-3860	A31:Ac23:0-406:Sb9:1462-1990
A32:Ac23:370-645:Sb3:1496-1853	A32:Ac23:322-645:Sb9:272-612
A33:Ac24:0-419:Sb7:1661-2187	A33:Ac24:107-419:Sb2:2438-3103
A34:Ac25:0-272:Sb2:2608-3205	A34:Ac25:0-449:Sb7:1440-2051
