A1:Ac1:0-830:Sb1:812-1382	A1:Ac1:0-830:Sb2:3339-3991
A1:Ac1:0-830:Sb1:3170-3658
A2:Ac1:652-1802:Sb3:3419-4461	A2:Ac1:652-1802:Sb9:1239-2610
A3:Ac2:0-1263:Sb2:1629-2606	A3:Ac2:0-1263:Sb7:1130-2277
A4:Ac3:0-1278:Sb4:2051-3110	A4:Ac3:0-1278:Sb6:1248-2238
A5:Ac4:0-1286:Sb3:976-1465	A5:Ac4:0-1286:Sb9:0-1403
A6:Ac5:0-634:Sb4:586-1563	A6:Ac5:0-634:Sb10:1326-1982
A7:Ac5:334-1232:Sb2:2280-3095	A7:Ac5:334-1232:Sb7:1621-2031
A8:Ac6:0-1083:Sb4:2214-3355	A8:Ac6:0-1083:Sb10:425-1409
A9:Ac7:0-645:Sb1:894-1870	A9:Ac7:0-645:Sb8:1218-1933
A10:Ac7:405-884:Sb2:3095-3665	A10:Ac7:405-884:Sb7:1457-1867
A11:Ac7:943-1182:Sb3:3011-3338	A11:Ac7:943-1182:Sb9:1647-2055
A12:Ac8:0-1105:Sb1:1853-3317	A12:Ac8:0-1105:Sb1:4227-5447
A13:Ac9:0-1138:Sb1:0-813	A13:Ac9:0-1138:Sb2:0-3437
A14:Ac10:0-886:Sb3:0-1302	A14:Ac10:0-886:Sb9:505-1077
A15:Ac11:0-911:Sb3:2246-3012	A15:Ac11:0-911:Sb9:1761-2170
A16:Ac12:0-381:Sb1:0-813	A16:Ac12:0-381:Sb2:651-1140
A17:Ac12:262-679:Sb5:1389-2322	A17:Ac12:262-679:Sb8:649-1299
A18:Ac13:0-823:Sb5:0-2322	A18:Ac13:0-823:Sb8:0-1543
A19:Ac14:0-300:Sb6:1913-2822	A19:Ac14:0-300:Sb7:556-803
A20:Ac14:239-599:Sb3:976-1628	A20:Ac14:239-599:Sb9:831-1403
A21:Ac14:599-923:Sb2:1303-1792	A21:Ac14:599-923:Sb7:1621-2277
A22:Ac15:0-900:Sb1:4146-5041	A22:Ac15:0-900:Sb2:3339-3942
A23:Ac16:0-758:Sb3:1709-2263	A23:Ac16:0-758:Sb9:2185-2610
A24:Ac17:0-875:Sb5:310-1472	A24:Ac17:0-875:Sb8:162-1137
A25:Ac18:0-850:Sb1:3495-4390	A25:Ac18:0-850:Sb2:3665-4317
A26:Ac19:0-735:Sb4:0-912	A26:Ac19:0-735:Sb10:1326-2424
A27:Ac20:0-752:Sb4:1709-2247	A27:Ac20:0-752:Sb6:908-1508
A28:Ac21:0-771:Sb4:1205-2247	A28:Ac21:0-771:Sb6:0-1508
A29:Ac22:0-551:Sb4:0-261	A29:Ac22:0-551:Sb10:0-344
A30:Ac22:430-778:Sb4:3110-3599	A30:Ac22:430-778:Sb10:2473-2801
A31:Ac23:0-370:Sb3:3011-3663	A31:Ac23:0-370:Sb9:1402-1974
A32:Ac23:298-645:Sb3:1383-1710	A32:Ac23:298-645:Sb9:179-669
A33:Ac24:0-419:Sb2:2476-2786	A33:Ac24:0-419:Sb7:1539-2031
A34:Ac25:0-449:Sb2:2687-3014	A34:Ac25:0-449:Sb7:1457-1867
