A1:Ac1:0-830:Os3:1829-3805	A1:Ac1:0-830:Os7:2249-2979
A2:Ac1:652-1802:Os1:4169-5316	A2:Ac1:652-1802:Os5:1748-3330
A3:Ac2:0-1263:Os8:1456-2706	A3:Ac2:0-1263:Os9:752-2112
A4:Ac3:0-1278:Os2:2620-3459	A4:Ac3:0-1278:Os4:2244-3189
A5:Ac4:0-1286:Os1:833-2085	A5:Ac4:0-1286:Os5:0-2060
A6:Ac5:0-634:Os2:524-1887	A6:Ac5:0-634:Os6:1340-2703
A7:Ac5:334-1232:Os8:2393-2997	A7:Ac5:334-1232:Os9:1588-2467
A8:Ac6:0-1083:Os2:3249-4340	A8:Ac6:0-1083:Os6:0-1655
A9:Ac7:0-585:Os3:2391-3597	A9:Ac7:0-585:Os12:1988-2721
A10:Ac7:585-1003:Os2:0-524	A10:Ac7:585-1003:Os9:1588-2467
A11:Ac7:764-1182:Os1:3752-4169	A11:Ac7:764-1182:Os5:2268-2893
A12:Ac8:0-1105:Os3:0-1414	A12:Ac8:0-1105:Os10:0-2483
A13:Ac9:0-1138:Os3:3493-4595	A13:Ac9:0-1138:Os7:0-2354
A14:Ac10:0-886:Os1:0-1355	A14:Ac10:0-886:Os5:0-1332
A15:Ac11:0-911:Os1:3064-3961	A15:Ac11:0-911:Os5:2372-2935
A16:Ac12:0-381:Os3:3908-4595	A16:Ac12:0-381:Os7:583-1416
A17:Ac12:262-679:Os11:1961-2692	A17:Ac12:262-679:Os12:1465-1988
A18:Ac13:0-823:Os11:0-3005	A18:Ac13:0-823:Os12:0-2721
A19:Ac14:0-300:Os4:2769-3503	A19:Ac14:0-300:Os8:0-1457
A20:Ac14:239-599:Os1:833-1876	A20:Ac14:239-599:Os5:1040-2060
A21:Ac14:599-923:Os8:1144-1769	A21:Ac14:599-923:Os9:0-753
A22:Ac15:0-900:Os3:1101-2246	A22:Ac15:0-900:Os10:0-1523
A23:Ac16:0-758:Os1:2293-2898	A23:Ac16:0-758:Os5:2913-3330
A24:Ac17:0-875:Os11:0-2066	A24:Ac17:0-875:Os12:0-1779
A25:Ac18:0-850:Os3:1101-2246	A25:Ac18:0-850:Os7:2561-3291
A26:Ac19:0-735:Os2:0-1048	A26:Ac19:0-735:Os6:2388-3478
A27:Ac20:0-752:Os2:2096-3040	A27:Ac20:0-752:Os4:1615-2538
A28:Ac21:0-771:Os2:1572-3040	A28:Ac21:0-771:Os4:985-2538
A29:Ac22:0-551:Os2:0-419	A29:Ac22:0-551:Os6:0-503
A30:Ac22:430-778:Os2:3878-4340	A30:Ac22:430-778:Os6:3121-3478
A31:Ac23:0-370:Os1:3960-4795	A31:Ac23:0-370:Os5:2060-2789
A32:Ac23:298-645:Os1:1459-2085	A32:Ac23:298-645:Os5:0-708
A33:Ac24:0-419:Os6:0-503	A33:Ac24:0-419:Os8:0-520
A33:Ac24:0-419:Os9:1797-2321:1
A34:Ac25:0-449:Os4:3293-3734	A34:Ac25:0-449:Os9:2007-2467
A34:Ac25:206-449:Os8:2705-2997:1
