num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,1,15,450,371,1265,1286,0.00,6,1.34614518517973,1.3633781509295881,-0.6,-0.6,-0.6,-0.6,-0.4,0.2,0.2,0.2,450_435_434_433_420_371,1265_1274_1277_1278_1280_1286,1.66959624263893_1.61928551417678_1.32523735005067_1.34614518517973_-2.0_0.856626462601831,0.075,0.2727272727272727,0,0,0
2,1,14,2137,2221,113,169,0.00,27,1.22662486914448,1.2509594865924587,0.6296296296296297,0.7407407407407407,0.8888888888888888,0.9629629629629629,1.0,1.0,1.0,1.0,2137_2139_2144_2158_2165_2167_2168_2170_2172_2173_2175_2179_2180_2183_2184_2185_2186_2190_2192_2193_2194_2195_2201_2205_2207_2215_2221,113_114_115_121_126_127_129_133_134_135_136_137_138_141_143_144_145_146_147_148_150_151_156_158_159_161_169,1.60374925668639_1.07631339396699_0.890567293680384_-2.0_0.951530399042868_0.687888390079395_1.22662486914448_0.917478196008183_1.44923370985929_1.67807324836071_2.25142487070544_-2.0_1.16733403672019_1.54229605611346_1.09712582868167_1.1547005535169_1.58858222172329_-2.0_0.817513504635581_1.35259914543087_0.466885385299002_1.37635941809179_-2.0_1.30139469110591_1.49091237665168_1.13756799407955_1.54591335204253,0.3176470588235294,0.47368421052631576,0,0,0
3,1,14,1613,1686,909,946,0.00,8,1.4971904139109151,1.4047835010771428,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1613_1614_1627_1648_1680_1681_1683_1686,909_912_914_925_938_939_940_946,-2.0_1.26918442707725_-2.0_1.33610720073507_0.345005749216997_1.65827362708676_1.73137157066802_2.08875843167876,0.10810810810810811,0.21052631578947367,0,0,0
4,1,14,2214,2075,125,225,0.00,7,1.113774453523227,1.3047680419926824,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,2214_2205_2190_2179_2155_2117_2075,125_137_146_158_160_187_225,0.775282967864556_-2.0_-2.0_2.21624029305972_-2.0_1.32178079780124_0.905768109245214,0.05,0.06930693069306931,0,0,0
5,1,14,2591,2474,543,580,0.00,5,1.21061141528667,1.4174655077587308,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2591_2575_2562_2518_2474,543_559_576_578_580,-2.0_1.21061141528667_2.3171500083929_0.724635099596622_-2.0,0.0423728813559322,0.13157894736842105,0,0,0
6,11,20,1912,2069,1724,1832,0.00,9,1.31563371698925,1.59482325150246,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.8888888888888888,1.0,1.0,1912_1928_1935_1950_1974_2006_2016_2023_2069,1724_1730_1744_1745_1773_1779_1815_1823_1832,1.31563371698925_0.579919211937812_0.464046269840248_1.5792585338859_1.23167080144282_2.69602638802187_1.23725680418373_2.01901920395835_3.23057833326216,0.056962025316455694,0.08256880733944955,0,0,0
7,11,20,437,474,1663,1676,0.00,6,1.68963350043373,1.917057229645464,-0.16666666666666666,0.0,0.3333333333333333,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,437_443_448_462_468_474,1663_1666_1669_1672_1673_1676,2.08398756117462_0.987730336458944_3.65991293732299_1.96411430053071_1.41515270033675_1.39144554204877,0.15789473684210525,0.42857142857142855,0,0,0
10,3,18,2502,2560,1169,1217,0.00,8,1.54212385942104,1.3202998748631354,-0.125,0.625,0.625,0.75,0.75,1.0,1.0,1.0,2502_2541_2547_2553_2554_2555_2558_2560,1169_1174_1211_1213_1214_1215_1216_1217,-2.0_-2.0_-2.0_-2.0_0.720185725391676_1.54212385942104_-2.0_1.69859003977669,0.13559322033898305,0.16326530612244897,0,0,0
11,3,18,430,250,417,509,0.00,7,1.3652309149181,1.6417183527474168,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,430_385_338_336_310_299_250,417_448_452_453_458_500_509,1.45026671662624_1.00535407579971_1.38620375961855_1.34425807021765_-2.0_3.32452105025077_1.33970644397158,0.03867403314917127,0.07526881720430108,0,0,0
12,3,18,37,12,1671,1765,0.00,6,1.700461983732285,1.7525913718720147,-0.8,-0.6,-0.2,-0.2,0.2,0.4,0.6,0.6,37_27_22_18_16_12,1671_1675_1722_1764_1765_1765,2.2825933187681_1.92015040180533_1.32684820125539_-2.0_-2.0_1.48077356565924,0.23076923076923078,0.06315789473684211,0,0,0
13,3,18,92,37,1719,1768,0.00,6,1.108082125267606,1.108082125267606,-0.4,0.0,0.0,0.4,0.6,0.6,0.6,1.0,92_91_89_88_85_37,1719_1763_1764_1765_1767_1768,0.738675802945372_-2.0_1.47748844758984_-2.0_-2.0_-2.0,0.10714285714285714,0.12,0,0,0
15,3,18,682,519,827,918,0.00,5,1.66939822926015,1.8391312267009934,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,682_653_606_569_519,827_836_868_914_918,1.66939822926015_1.65998419164708_-2.0_2.18801125919575_-2.0,0.03048780487804878,0.05434782608695652,0,0,0
16,3,18,2903,2760,1791,1905,0.00,5,1.4871057039944748,1.8250754927819264,-0.75,-0.25,0.0,0.0,0.25,0.5,0.75,0.75,2903_2867_2852_2809_2760,1791_1841_1862_1904_1905,3.443615442467_-2.0_1.55602544353823_0.882475120671755_1.41818596445072,0.034722222222222224,0.043478260869565216,0,0,0
