num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,10,4,238,23,811,1060,0.00,31,1.060064217469645,1.18826930383607,0.23333333333333334,0.6666666666666666,0.8,0.8333333333333334,0.8666666666666667,0.9,0.9333333333333333,0.9333333333333333,238_232_228_213_212_210_203_201_197_195_186_182_181_180_162_161_158_156_154_150_135_112_108_98_96_92_85_81_80_73_23,811_826_832_881_884_890_893_895_899_900_920_940_942_945_958_959_961_962_966_971_982_991_995_1007_1008_1011_1023_1027_1028_1056_1060,0.70070687081865_0.879540195616371_0.999959315697564_0.920138602354866_1.23111545154702_1.83824224691971_0.943957038223309_2.04322853615073_1.08750763162949_1.35712875878664_0.997471334514479_1.42759759410603_1.4745717444903_1.30039911810686_0.86167666089019_1.34334052173868_0.46383588175005_1.18046499788142_1.0412471560157_0.904841764306812_1.07888127892359_0.920627476302095_0.901980504244686_1.7677939898674_-2.0_0.843440831303529_1.70726188865428_0.942484851391328_0.80116303361226_2.05674110087807_1.63073273836,0.14351851851851852,0.124,0,0,0
2,10,4,389,514,75,218,0.00,20,1.05977200787167,1.1353924717942039,0.45,0.8,1.0,1.0,1.0,1.0,1.0,1.0,389_391_392_407_422_424_432_435_436_441_446_447_457_471_472_476_486_507_512_514,75_76_78_105_124_125_133_136_137_142_150_154_168_179_181_186_195_202_206_218,1.2000089732431_1.69338689936451_1.71679915717991_2.22748110637135_0.822602977433495_0.611501632263184_1.23458960930153_1.05977200787167_1.0067655307782_1.2073005413828_1.13651158079711_1.38416704087657_0.81455202361555_1.04710999317218_0.8465441242906_0.790735791615941_-2.0_0.65217274159964_1.18938893507117_0.931066297861365,0.15873015873015872,0.1388888888888889,0,0,0
3,10,4,77,2,1174,1286,0.00,11,0.8325917112097725,0.9540000755315965,0.2,0.7,0.8,0.9,0.9,0.9,0.9,1.0,77_67_45_35_34_31_23_12_9_8_2,1174_1218_1228_1249_1250_1251_1253_1262_1265_1266_1286,0.928397969544963_0.74757611423502_2.40522934701628_0.570011836099362_0.574191248494358_0.729283464350487_0.412516390813603_1.30690461427691_0.948282462300459_0.917607308184525_-2.0,0.14473684210526316,0.09734513274336283,0,0,0
4,10,4,385,290,590,629,0.00,7,1.32973668459504,1.289327144453747,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,385_384_347_333_332_328_290,590_591_602_619_620_627_629,0.974056586002079_1.74385193888696_1.5956396547353_1.4769640414947_1.32973668459504_0.596535543547121_1.30850556191503,0.07291666666666667,0.175,0,0,0
5,10,4,537,340,7,150,0.00,7,1.4560493900564402,1.491163177268259,0.16666666666666666,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,537_515_510_480_432_388_340,7_41_91_109_133_142_150,0.913466798643424_1.91134379140116_1.67750917081135_1.05524343216829_1.23458960930153_2.1548262612838_-2.0,0.03535353535353535,0.04861111111111111,0,0,0
6,10,4,219,271,270,333,0.00,6,0.828328766938105,0.9020530284786817,0.16666666666666666,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,219_255_258_267_269_271,270_275_286_303_320_333,1.29720510569176_0.534712355892095_0.828328766938105_-2.0_1.20773966425599_0.642279249615458,0.11320754716981132,0.09375,0,0,0
7,10,4,883,976,540,620,0.00,5,1.60073437788613,1.922010270498894,-0.6,-0.4,-0.2,-0.2,0.0,0.6,0.6,0.6,883_904_940_941_976,540_566_578_579_620,1.60073437788613_1.64606199641077_1.29913902140696_1.08048654932103_3.98362940746958,0.05319148936170213,0.06172839506172839,0,0,0
8,10,4,2,54,1027,1122,0.05,4,1.1780821829738248,1.1284303128425213,-0.5,-0.25,0.0,0.0,0.25,0.75,0.75,0.75,2_4_48_54,1027_1060_1109_1122,1.0642153516527_1.29194901429495_1.36325196857848_0.794304916843955,0.07547169811320754,0.041666666666666664,0,0,0
9,11,10,310,446,194,254,0.01,5,1.1847541483040152,1.0895298434723624,0.0,0.0,0.4,0.4,0.8,0.8,1.0,1.0,310_353_366_411_446,194_214_223_248_254,0.606422086026479_1.17310867768269_-2.0_1.38218899125494_1.19639961892534,0.0364963503649635,0.08196721311475409,0,0,0
10,11,10,353,245,214,270,0.00,5,0.9364376420503815,0.8655402241626026,-0.75,-0.75,-0.5,-0.25,0.0,0.25,0.5,0.75,353_338_324_295_245,214_215_242_268_270,1.17310867768269_0.809673070273063_0.416176934866957_-2.0_1.0632022138277,0.045871559633027525,0.08771929824561403,0,0,0
