num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,1,1,4,85,882,1008,0.00,38,1.19670948270771,1.2242862948827131,0.7894736842105263,0.8947368421052632,0.9473684210526315,0.9473684210526315,1.0,1.0,1.0,1.0,4_8_9_11_12_13_14_16_17_18_20_21_25_27_28_29_32_37_41_43_45_47_50_52_53_55_57_58_60_66_68_70_72_73_75_76_77_85,882_884_885_886_888_889_891_894_895_896_902_904_905_906_907_908_910_914_922_925_926_930_931_932_933_938_940_943_945_948_949_950_952_953_955_957_958_1008,1.42074361493516_1.3742853288892_1.5918974627914_1.01783105726826_1.18674719525701_1.24436325870161_1.57521346663492_0.669462798175736_1.03673865955519_1.43047391594398_2.15484746359625_1.18407913527024_1.34918827194619_1.38078130489584_1.3650792347976_1.1994730482782_0.749298155108703_0.923995153429067_0.992092073854205_0.58281939945258_0.740343303249152_0.467773909216536_0.648416777394149_3.24551746100767_1.425476195245_1.61795556850525_1.23842478192712_1.19394591713722_1.09280492158064_1.13331232683266_1.47335775366867_1.40146878714519_1.53545372333263_0.654503649549629_1.834373933536_0.945427941799765_0.809924375816608_0.634987879817872,0.4634146341463415,0.2992125984251969,1,1,0
2,1,1,779,607,975,1142,0.00,36,1.138543790422985,1.2263231336222058,0.8285714285714286,0.9428571428571428,1.0,1.0,1.0,1.0,1.0,1.0,779_775_770_763_762_761_758_754_753_751_750_748_746_745_744_742_741_740_737_736_729_728_724_723_722_716_700_698_676_675_664_660_657_653_652_607,975_1021_1023_1027_1031_1033_1038_1041_1043_1046_1048_1059_1060_1062_1063_1064_1066_1067_1069_1074_1076_1079_1082_1084_1085_1093_1098_1103_1109_1110_1117_1125_1137_1139_1141_1142,1.57483835345556_1.10606430594137_0.789862435943517_1.64171492368915_1.39948692588624_1.08489778264606_0.659419948228942_0.832583813973758_1.32764567577748_1.63722941597176_1.0512064470697_1.47644883937544_0.874904722464768_2.50907956878169_1.36225917639809_1.2999156661266_1.1012601006004_1.69290636362822_1.4185613402189_1.07548196590429_0.972282479243003_1.73913765023242_1.95358794528562_1.42481805064836_-2.0_1.13573577205247_1.08485745219352_0.4103014289125_1.49079983639275_0.620634571065892_0.84609715539476_0.806330199745843_1.45134429810656_1.1413518087935_0.701940123005865_-2.0,0.20809248554913296,0.21428571428571427,1,1,0
3,1,1,470,637,1158,1240,0.00,22,0.988714433541409,1.0778878580204443,0.7727272727272727,0.9545454545454546,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,470_471_472_478_485_486_487_489_491_510_512_514_515_524_532_537_539_573_575_580_609_637,1158_1160_1161_1162_1164_1165_1166_1167_1169_1180_1181_1184_1186_1188_1191_1198_1200_1205_1209_1211_1228_1240,1.37591752349991_1.00613504307083_1.53320304259624_1.46755177092019_0.969406394220409_0.924282756109297_1.40097255044582_0.375995690730881_1.8504543011738_0.935720948072455_0.769592991387638_0.802194296320944_1.53482757272171_1.63010863770466_0.983738614929825_0.976010728501473_0.998937919270015_1.15358311678551_0.673502164166373_0.572578222562722_0.993690252152993_0.785128339106081,0.13095238095238096,0.26506024096385544,1,1,0
4,1,1,97,10,990,1103,0.00,11,1.0199016442542885,1.0379080778745062,0.8,0.9,0.9,0.9,0.9,1.0,1.0,1.0,97_96_95_94_92_90_89_85_83_60_10,990_991_992_993_998_999_1000_1011_1055_1100_1103,0.435063723671361_1.3952572088097_0.838820383841377_0.743765941745518_1.2009829046672_0.759325172158872_1.61404380884433_0.470515080412012_1.40224735398963_1.51905920060506_-2.0,0.125,0.09649122807017543,1,1,0
5,1,1,467,393,1248,1268,0.00,5,1.1524005609047396,1.3599746122629321,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,467_465_461_442_393,1248_1250_1257_1266_1268,0.899781304154609_2.39155155766798_0.74354576957427_1.40501981765487_-2.0,0.06666666666666667,0.23809523809523808,1,1,0
6,1,2,445,49,3433,3884,0.00,111,1.11921945953737,1.1934714819377512,0.6636363636363637,0.8363636363636363,0.9636363636363636,0.9727272727272728,0.9818181818181818,0.990909090909091,1.0,1.0,445_413_399_393_390_389_386_378_377_376_374_368_365_360_357_355_354_353_350_337_335_334_332_331_329_325_324_321_320_316_314_310_302_300_299_298_295_294_293_292_286_285_284_283_282_279_276_275_272_269_267_265_261_260_258_257_255_253_246_244_242_241_240_239_238_233_230_228_225_224_223_221_220_219_213_210_206_205_197_191_187_184_182_180_179_176_173_170_168_167_161_156_155_147_146_144_143_141_139_133_129_128_121_111_110_108_105_101_100_99_49,3433_3480_3507_3532_3533_3534_3535_3562_3563_3564_3565_3579_3581_3586_3591_3592_3596_3597_3598_3605_3613_3614_3615_3617_3620_3625_3626_3628_3629_3635_3637_3640_3654_3660_3663_3664_3668_3670_3671_3672_3678_3680_3681_3683_3686_3687_3697_3698_3701_3703_3705_3708_3709_3710_3711_3712_3713_3714_3722_3723_3733_3736_3737_3738_3739_3741_3742_3744_3746_3748_3751_3753_3754_3755_3761_3763_3765_3766_3771_3778_3783_3786_3787_3790_3791_3795_3796_3799_3800_3802_3807_3816_3817_3826_3831_3834_3837_3838_3839_3843_3851_3853_3858_3863_3866_3868_3870_3871_3872_3876_3884,0.904761352778406_0.550763633368701_0.680130695154672_0.463486175136066_0.726880013138487_1.3960665998283_1.01399382504584_1.14488933989699_0.864878454688906_1.16045325451316_0.755218379185987_1.52326421775271_0.707818594931077_0.505388791024591_1.22724680077018_1.4001266217513_1.56025118374365_0.815497588285811_0.628303288155976_0.411418551526295_0.910452007684423_1.20255779528585_0.481237484932734_0.91350056883388_1.18439852043329_0.894445835271687_0.672808666265066_1.73736599862228_1.12664844553296_1.00118853613323_1.10925238673632_1.00990883004607_0.820896598815229_3.02016084959028_1.11921945953737_1.19190085061007_1.3421991475636_-2.0_1.10160750110996_1.07338870100897_1.10567700301347_1.96028851236439_2.92963740158326_0.590572208283464_0.920436960797871_0.830404568668412_0.579892416175109_0.907853401950367_1.25116247586528_1.55315017124327_0.851711611888026_1.50953367474991_0.928820781306737_1.06688671841566_1.00825098232546_2.59459971733959_0.924836978333678_0.611083157267496_0.92364439094784_1.64226336379721_1.32047400879055_0.929999816485453_1.1403601276633_1.87701018665398_1.87700890519853_1.00966210316436_0.964049923356292_1.42389464925718_1.07129140407949_1.07928053112972_1.37083674110807_0.953848543215807_1.77364759300325_1.79027896223289_1.64081610719941_1.32776162636502_2.42746467551419_2.09533561825345_1.15036044641067_1.18404707893825_1.30172100983727_1.3246259071225_1.22964494055855_1.44520068569723_0.437457805797108_1.07118424592797_1.26867404381861_0.354269507203646_0.381449852505581_1.61116236598597_1.12776213122405_2.1495706412361_1.02784348489274_1.58421969284989_1.34510494927933_0.996345366870117_1.17204062478634_1.53091524664472_1.89549552425395_1.0498381102899_1.05159436975243_0.790185737939523_1.27586031004863_1.15954823481014_1.59176021413673_1.0031097290191_1.47920212699948_1.77294730773205_0.919395703584852_1.28815057138363_-2.0,0.2795969773299748,0.24557522123893805,1,2,0
7,1,2,901,771,3549,3592,0.00,5,0.954289471739987,0.9891815883388473,-0.25,0.0,0.0,0.25,0.75,1.0,1.0,1.0,901_877_830_818_771,3549_3554_3590_3591_3592,-2.0_1.22829554208451_0.819851867790905_1.00455022797152_0.904028715508454,0.03816793893129771,0.11363636363636363,1,2,0
8,1,1,401,52,3234,3589,0.00,95,1.22286459632394,1.3351841135352904,0.5638297872340425,0.8617021276595744,0.925531914893617,0.9680851063829787,0.9787234042553191,1.0,1.0,1.0,401_380_378_377_375_374_368_350_348_345_344_343_341_337_332_327_326_325_315_312_309_308_306_300_293_292_285_284_283_280_278_277_273_272_270_265_257_256_254_252_250_245_241_240_239_237_236_235_233_231_226_225_222_215_214_213_212_211_209_208_207_205_204_200_199_192_191_187_184_181_180_175_173_172_167_164_163_161_158_157_156_155_149_136_135_129_128_126_125_123_115_113_103_101_52,3234_3249_3257_3260_3261_3262_3277_3279_3290_3294_3300_3302_3306_3311_3312_3316_3318_3323_3332_3336_3337_3338_3339_3349_3354_3355_3365_3366_3367_3376_3384_3385_3391_3394_3396_3402_3405_3406_3407_3409_3411_3415_3418_3420_3423_3424_3426_3429_3439_3440_3443_3444_3445_3452_3453_3461_3462_3463_3467_3469_3473_3476_3477_3478_3480_3488_3494_3495_3496_3501_3506_3509_3510_3512_3517_3522_3524_3526_3529_3531_3533_3534_3546_3550_3552_3554_3556_3560_3561_3562_3564_3566_3577_3579_3589,1.4262242421289_0.946060769669981_1.25636100571706_1.16789041656766_1.64734383040752_1.0406983942675_1.51169043682597_0.530169482141496_1.19285675056494_1.72308707520739_0.932045281475685_0.785508585825688_0.79024075369862_0.349815722431313_0.420389041900513_1.10510581113073_5.89565944567187_0.8783675508295_-2.0_2.04504220710562_1.16721577633028_1.15331230217678_1.92572916505089_2.18338455780192_1.01970702639571_2.19810399560602_2.2341938664282_1.71833258288788_0.730086859285579_1.34086101820278_1.91693384272477_1.9582856221584_-2.0_1.04751561521156_0.990520399596326_1.47285402258285_1.23556287037449_1.79991436377546_0.852577146075911_1.93124031217128_0.929877200596362_0.869073036996024_0.895849440514498_1.35578504787772_2.82273382851499_0.970841229253491_2.26685312064434_1.48240449300865_1.91809664324467_0.502027639102267_1.14566306472143_0.943153705029664_1.52414872749987_0.96350456862136_0.747283997940336_1.92912232108895_0.73999206370317_1.1476694448025_1.23117245352329_1.31263925523293_0.217799719473364_2.24703501714673_1.13596391837207_0.300463969194598_1.69479165722037_-2.0_0.799267294064121_1.38837842596446_1.66320109344368_0.509273836716978_1.65220722238741_1.40914923481974_0.916759290671217_0.921413635019963_1.52235693532078_1.77160471781298_1.05767150353421_1.4235570370872_1.81722499321024_1.30419609022649_2.02516766300556_1.43161485363432_1.08818043904347_0.680667788929048_1.22286459632394_1.42500627859631_0.737455957924198_2.02673964479491_0.837109492931127_1.04876161809781_-2.0_1.22444718568294_0.627751842394579_1.04686368197336_2.1080282663717,0.2714285714285714,0.26685393258426965,1,3,0
9,1,1,401,434,3234,3252,0.00,5,1.30140314378639,1.2952374352571967,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,401_404_412_415_434,3234_3236_3237_3244_3252,1.4262242421289_0.664085162948244_1.30140314378639_1.97306419583757_1.11141043158488,0.14705882352941177,0.2631578947368421,1,3,0
10,1,3,1182,741,3621,3915,0.00,119,1.17124289694499,1.1991029668562718,0.5932203389830508,0.8050847457627118,0.864406779661017,0.8898305084745762,0.940677966101695,0.9661016949152542,0.9745762711864406,0.9745762711864406,1182_1155_1139_1121_1119_1116_1103_1097_1082_1080_1078_1070_1064_1063_1052_1049_1047_1046_1045_1041_1040_1038_1035_1030_1013_1009_1008_1000_997_996_995_994_991_990_988_985_977_976_975_973_972_970_965_964_963_958_957_955_954_953_950_948_946_944_943_941_940_939_938_935_934_933_931_923_920_918_913_912_911_909_906_903_902_901_899_898_891_884_883_881_879_877_875_874_872_871_870_869_868_865_864_862_861_860_859_858_856_854_852_843_842_841_838_836_835_822_805_803_800_797_796_795_794_791_790_789_788_786_741,3621_3629_3631_3641_3643_3646_3654_3656_3659_3660_3662_3663_3670_3671_3672_3673_3675_3677_3679_3680_3682_3685_3687_3692_3694_3696_3697_3699_3701_3702_3703_3704_3706_3707_3708_3709_3711_3714_3720_3721_3722_3727_3728_3729_3730_3731_3733_3735_3736_3738_3739_3740_3741_3742_3743_3744_3746_3747_3749_3750_3751_3752_3755_3757_3759_3765_3767_3769_3770_3771_3772_3777_3778_3779_3780_3781_3784_3788_3792_3794_3796_3798_3799_3800_3802_3803_3805_3806_3810_3811_3812_3816_3817_3819_3820_3821_3822_3823_3824_3837_3841_3842_3843_3850_3851_3876_3893_3894_3897_3898_3899_3901_3904_3906_3908_3911_3913_3914_3915,1.05818382728955_1.12830859042737_0.539472073063522_0.971549047408379_1.64900815349899_0.649500058392514_0.592837044671632_0.611786185754749_0.9494970803057_0.46225727789488_0.770315827694534_1.01373044014303_0.716729952283905_0.821689925813677_1.01666060420964_1.78250211831296_1.24194816564126_0.94874018256081_1.64117681457584_1.84980611780683_1.0826798067839_1.10971150677621_1.186003964541_1.28048419747289_1.40149030097285_1.28218864577927_1.0595981179226_1.19304840711743_1.11964329705111_1.21689305177333_0.800619932358784_0.487446880896966_0.819964533289079_-2.0_1.21185045466645_1.50111000015759_1.96307523912834_0.721537076525559_1.77265056603556_1.31799080763522_1.63944376656172_1.54378744022692_1.64350989716403_1.55364063906354_1.60764029877326_0.880220548703059_0.840863846726199_0.986343998281524_1.14030141121768_0.692988301861765_1.37305407212492_1.08516972449947_0.611870048756235_1.43911376051021_1.27931467578783_1.51581577231389_0.740440000167265_1.42098057521813_0.439029496892128_0.829007851870341_1.03186223194747_1.23386699627715_2.26223451548197_2.17319400440225_0.647735770884613_1.30651764574201_2.83218141980234_0.67309883932892_1.46269405370264_0.72212979157375_1.79476186065586_1.01010283413862_0.689575236388551_3.16293202390906_1.6866724409104_1.30677828000703_0.483267762292886_1.01570685091804_1.20380025239716_-2.0_1.2728282591122_1.39213112955456_1.10974630675128_1.15185914762996_0.93479170232151_1.04594487295094_1.51890132955714_1.17954720018068_1.43390658783884_1.16424184943813_1.18299524983393_1.05790050141288_0.993099978717326_1.24735656855447_0.580292394852395_1.46397808025025_0.843219534180069_1.40860015363886_1.25026470502774_0.799814374240483_1.15983458620241_1.51742623153523_1.17124289694499_1.08845940840698_1.61932752713726_1.90165059649127_1.28088094730174_1.30967288204729_0.781201525463499_1.1434570682753_1.40389292882465_0.588388686397427_1.21465638259973_1.18343717208055_1.040153100905_0.688022626132787_1.69658911700454_1.28988516572833_2.28011313454643,0.2692307692307692,0.4033898305084746,2,4,0
