A1:Ac1:0-1001:Os3:2293-4381	A1:Ac1:0-967:Os7:1904-3533
A2:Ac1:943-1802:Os1:4987-6214	A2:Ac1:991-1802:Os5:1952-3676
A3:Ac2:0-1263:Os8:1817-3221	A3:Ac2:0-1263:Os9:830-2237
A4:Ac3:0-1278:Os2:2773-3837	A4:Ac3:0-1278:Os4:2296-3398
A5:Ac4:0-1286:Os1:1689-2815	A5:Ac4:0-1286:Os5:0-2183
A6:Ac5:0-592:Os2:809-2404	A6:Ac5:0-486:Os6:1617-3027
A7:Ac5:390-960:Os8:2507-3221	A7:Ac5:402-1019:Os9:1798-2652
A8:Ac6:0-1083:Os2:3744-4808	A8:Ac6:0-1083:Os6:485-1895
A9:Ac7:0-573:Os3:2798-4152	A9:Ac7:0-513:Os12:1995-2753
A10:Ac7:573-1182:Os8:2668-3221	A10:Ac7:513-1086:Os9:1568-2652
A11:Ac7:835-1182:Os1:4035-5068	A11:Ac7:823-1182:Os5:2366-3079
A12:Ac8:0-1105:Os3:0-1560	A12:Ac8:0-1105:Os10:0-2609
A13:Ac9:0-1138:Os3:4106-5322	A13:Ac9:0-1138:Os7:0-2409
A14:Ac10:0-886:Os1:0-1991	A14:Ac10:0-886:Os5:413-1447
A15:Ac11:0-911:Os1:3599-4645	A15:Ac11:0-911:Os5:2665-3217
A16:Ac12:0-345:Os3:4610-5322	A16:Ac12:0-345:Os7:596-1514
A17:Ac12:309-679:Os11:1981-2765	A17:Ac12:309-750:Os12:1422-1973
A18:Ac13:0-823:Os11:0-3111	A18:Ac13:0-823:Os12:0-2340
A19:Ac14:0-304:Os4:2938-3720:1	A19:Ac14:0-376:Os8:460-1841
A20:Ac14:170-668:Os1:985-2087	A20:Ac14:267-571:Os5:941-2160
A21:Ac14:595-923:Os8:1288-1818	A21:Ac14:582-923:Os9:0-899
A22:Ac15:0-900:Os3:275-1560	A22:Ac15:0-900:Os10:0-1419
A23:Ac16:0-758:Os1:3036-3600	A23:Ac16:0-758:Os5:3124-3676
A24:Ac17:0-875:Os11:276-2074	A24:Ac17:0-875:Os12:252-1721
A25:Ac18:0-850:Os3:1330-2569	A25:Ac18:0-850:Os7:2477-3533
A26:Ac19:0-735:Os2:300-1248	A26:Ac19:0-735:Os6:2588-3651
A27:Ac20:0-752:Os2:2242-3144	A27:Ac20:0-752:Os4:1515-2641
A28:Ac21:0-771:Os2:1571-3283	A28:Ac21:0-771:Os4:803-2595
A29:Ac22:0-515:Os2:0-347	A29:Ac22:0-431:Os6:0-462
A30:Ac22:454-778:Os2:4484-4970	A30:Ac22:359-778:Os6:3466-3813
A31:Ac23:0-375:Os1:4585-5410	A31:Ac23:0-375:Os5:2274-3102
A32:Ac23:340-645:Os1:2212-2775	A32:Ac23:316-645:Os5:114-735
A33:Ac24:0-419:Os8:2668-3221	A33:Ac24:147-419:Os9:1867-2352
A34:Ac25:212-449:Os8:2829-3221	A34:Ac25:0-343:Os9:2190-2652
