CSR1:Ac1:0-830:Sb1:812-1382	CSR1:Ac1:0-830:Sb2:3339-3991
CSR1:Ac1:0-830:Sb1:3170-3658
CSR2:Ac1:652-1802:Sb3:3419-4461	CSR2:Ac1:652-1802:Sb9:1239-2610
CSR3:Ac2:0-1263:Sb2:1629-2606	CSR3:Ac2:0-1263:Sb7:1130-2277
CSR4:Ac3:0-1278:Sb4:2051-3110	CSR4:Ac3:0-1278:Sb6:1248-2238
CSR5:Ac4:0-1286:Sb3:976-1465	CSR5:Ac4:0-1286:Sb9:0-1403
CSR6:Ac5:0-634:Sb4:586-1563	CSR6:Ac5:0-634:Sb10:1326-1982
CSR7:Ac5:334-1232:Sb2:2280-3095	CSR7:Ac5:334-1232:Sb7:1621-2031
CSR8:Ac6:0-1083:Sb4:2214-3355	CSR8:Ac6:0-1083:Sb10:425-1409
CSR9:Ac7:0-645:Sb1:894-1870	CSR9:Ac7:0-645:Sb8:1218-1933
CSR10:Ac7:405-884:Sb2:3095-3665	CSR10:Ac7:405-884:Sb7:1457-1867
CSR11:Ac7:943-1182:Sb3:3011-3338	CSR11:Ac7:943-1182:Sb9:1647-2055
CSR12:Ac8:0-1105:Sb1:1853-3317	CSR12:Ac8:0-1105:Sb1:4227-5447
CSR13:Ac9:0-1138:Sb1:0-813	CSR13:Ac9:0-1138:Sb2:0-3437
CSR14:Ac10:0-886:Sb3:0-1302	CSR14:Ac10:0-886:Sb9:505-1077
CSR15:Ac11:0-911:Sb3:2246-3012	CSR15:Ac11:0-911:Sb9:1761-2170
CSR16:Ac12:0-381:Sb1:0-813	CSR16:Ac12:0-381:Sb2:651-1140
CSR17:Ac12:262-679:Sb5:1389-2322	CSR17:Ac12:262-679:Sb8:649-1299
CSR18:Ac13:0-823:Sb5:0-2322	CSR18:Ac13:0-823:Sb8:0-1543
CSR19:Ac14:0-300:Sb6:1913-2822	CSR19:Ac14:0-300:Sb7:556-803
CSR20:Ac14:239-599:Sb3:976-1628	CSR20:Ac14:239-599:Sb9:831-1403
CSR21:Ac14:599-923:Sb2:1303-1792	CSR21:Ac14:599-923:Sb7:1621-2277
CSR22:Ac15:0-900:Sb1:4146-5041	CSR22:Ac15:0-900:Sb2:3339-3942
CSR23:Ac16:0-758:Sb3:1709-2263	CSR23:Ac16:0-758:Sb9:2185-2610
CSR24:Ac17:0-875:Sb5:310-1472	CSR24:Ac17:0-875:Sb8:162-1137
CSR25:Ac18:0-850:Sb1:3495-4390	CSR25:Ac18:0-850:Sb2:3665-4317
CSR26:Ac19:0-735:Sb4:0-912	CSR26:Ac19:0-735:Sb10:1326-2424
CSR27:Ac20:0-752:Sb4:1709-2247	CSR27:Ac20:0-752:Sb6:908-1508
CSR28:Ac21:0-771:Sb4:1205-2247	CSR28:Ac21:0-771:Sb6:0-1508
CSR29:Ac22:0-551:Sb4:0-261	CSR29:Ac22:0-551:Sb10:0-344
CSR30:Ac22:430-778:Sb4:3110-3599	CSR30:Ac22:430-778:Sb10:2473-2801
CSR31:Ac23:0-370:Sb3:3011-3663	CSR31:Ac23:0-370:Sb9:1402-1974
CSR32:Ac23:298-645:Sb3:1383-1710	CSR32:Ac23:298-645:Sb9:179-669
CSR33:Ac24:0-419:Sb2:2476-2786	CSR33:Ac24:0-419:Sb7:1539-2031
CSR34:Ac25:0-449:Sb2:2687-3014	CSR34:Ac25:0-449:Sb7:1457-1867
