num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,12,6,1164,1101,1114,1144,0.00,6,1.2412988577266901,1.2531389608769279,0.6,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1164_1158_1152_1148_1142_1101,1114_1118_1121_1126_1134_1144,0.808080665767676_1.16010656502274_0.618186092495431_1.99694087026908_1.613028421276_1.32249115043064,0.09375,0.1935483870967742,0,0,0
2,12,10,143,185,51,57,0.04,4,1.3791004625799,1.4974119127722638,-0.25,0.5,0.5,0.5,0.75,1.0,1.0,1.0,143_181_183_185,51_55_56_57,0.792384587967952_2.32075068776894_1.3791004625799_-2.0,0.09302325581395349,0.5714285714285714,0,0,0
3,12,10,461,500,604,627,0.02,4,0.728074673181162,0.865545971710683,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,461_494_496_500,604_625_626_627,-2.0_0.700553928743787_1.1680093132071_0.728074673181162,0.1,0.16666666666666666,0,0,0
4,12,4,1769,1651,1040,1160,0.00,6,1.18188786508304,1.2860347732024067,-0.4,-0.4,-0.4,0.0,0.4,0.4,0.4,0.8,1769_1726_1715_1707_1700_1651,1040_1065_1095_1122_1156_1160,1.22951969422436_2.48370936852123_1.13425603594172_1.47658416270522_0.590702803488486_0.801436574333424,0.05042016806722689,0.049586776859504134,0,0,0
5,12,4,1926,2000,120,201,0.06,4,1.1993285284031598,1.1993285284031598,-0.25,0.25,0.25,0.25,0.5,0.75,0.75,0.75,1926_1967_1969_2000,120_142_153_201,-2.0_1.07490846068073_-2.0_1.32374859612559,0.05333333333333334,0.04878048780487805,0,0,0
6,6,1,127,22,2361,2416,0.00,8,2.28451584498852,2.4305860742349545,0.42857142857142855,0.5714285714285714,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,127_98_94_85_66_49_47_22,2361_2367_2370_2373_2404_2412_2414_2416,2.28451584498852_2.71552345627341_4.93599928365916_1.52997876537986_1.61651226171807_2.53819990443778_1.39337300318788_-2.0,0.07547169811320754,0.14285714285714285,0,0,0
7,6,1,225,342,1501,1573,0.00,6,1.75104715974048,1.9359974698068485,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,225_230_252_261_304_342,1501_1506_1514_1524_1549_1573,2.99252378669753_0.939533250147014_3.20369321763317_1.75104715974048_-2.0_0.793189934816048,0.05084745762711865,0.0821917808219178,0,0,0
8,6,1,85,159,498,549,0.00,5,1.72663511453789,1.8432229622991434,0.0,0.4,0.6,0.8,0.8,1.0,1.0,1.0,85_99_138_151_159,498_499_540_546_549,1.08551013710707_2.71752363525247_-2.0_-2.0_1.72663511453789,0.06666666666666667,0.09615384615384616,0,0,0
9,6,1,161,256,75,168,0.00,5,1.67895760117777,1.82201380324481,-0.2,0.0,0.4,0.6,0.6,0.8,0.8,0.8,161_185_226_235_256,75_108_112_139_168,2.10211352439359_1.25580167796195_1.14496096059548_2.78517905002822_-2.0,0.052083333333333336,0.05319148936170213,0,0,0
10,6,1,78,22,211,235,0.00,5,1.66790895543837,2.1509058747576866,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,78_54_49_47_22,211_214_232_234_235,-2.0_-2.0_1.0169819135501_1.66790895543837_3.76782675528459,0.08771929824561403,0.2,0,0,0
11,6,1,66,133,2527,2569,0.05,4,1.993287514185265,1.914495167468635,-0.25,0.0,0.5,0.75,0.75,0.75,0.75,1.0,66_73_116_133,2527_2561_2562_2569,1.18496442760794_2.33204862310675_2.48644121389607_1.65452640526378,0.058823529411764705,0.09302325581395349,0,0,0
12,5,11,152,58,966,1027,0.00,5,2.03069309805127,2.2512854298927603,-0.5,-0.25,-0.25,0.0,0.25,0.75,0.75,0.75,152_127_123_108_58,966_977_979_1006_1027,-2.0_1.95650039242873_1.25474369711257_2.10488580367381_3.68901182635593,0.05263157894736842,0.08064516129032258,0,0,0
13,5,11,226,108,199,271,0.00,5,1.71911178782916,1.7879024465444124,-0.25,-0.25,0.0,0.25,0.5,0.5,0.5,0.75,226_219_177_151_108,199_202_249_253_271,2.63569160069235_1.07769460982698_1.94789170765254_1.49033186800578_-2.0,0.04201680672268908,0.0684931506849315,0,0,0
14,5,9,78,2,852,922,0.00,6,1.41379621217185,1.9160497116484059,0.2,0.4,1.0,1.0,1.0,1.0,1.0,1.0,78_39_36_27_8_2,852_902_903_905_922_922,1.41379621217185_0.35676066668441_2.30062571245825_1.30960874582451_4.19945722110301_-2.0,0.07792207792207792,0.08450704225352113,0,0,0
15,1,8,756,690,280,329,0.00,6,0.9739657286942309,1.234990240305368,-0.2,0.0,0.4,0.4,0.6,0.6,0.8,0.8,756_748_747_744_728_690,280_281_282_283_323_329,0.880770473225948_1.94167227248402_1.94173631600926_0.908966100411302_1.03896535697716_0.697830922724518,0.08955223880597014,0.12,0,0,0
16,1,8,1549,1628,195,219,0.01,5,1.32865439342437,1.2453281785641126,0.0,0.2,0.8,0.8,0.8,1.0,1.0,1.0,1549_1550_1583_1601_1628,195_199_210_216_219,1.51222758067288_0.895102561595088_-2.0_-2.0_1.32865439342437,0.0625,0.2,0,0,0
