num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,11,7,924,965,1113,1247,0.00,16,1.0885293341699,1.1718137304244833,0.5625,0.8125,0.875,0.9375,0.9375,0.9375,0.9375,1.0,924_929_930_931_932_933_934_936_944_947_948_951_953_955_957_965,1113_1153_1154_1155_1160_1162_1166_1170_1181_1183_1193_1203_1205_1215_1217_1247,1.34549933386617_0.901492982341464_1.28249513589862_0.645340335824649_1.38611992752653_1.31271167311406_1.05484502303586_1.12221364530394_0.612899871922444_2.27252207281564_1.01153476219708_0.982936904538147_0.924174770127435_1.82072186466559_0.698791217043692_1.37472016657041,0.38095238095238093,0.11851851851851852,0,0,0
6,11,7,835,928,252,316,0.02,4,1.24974900015185,1.118886179084002,-0.75,-0.5,-0.5,0.0,0.25,0.5,0.5,1.0,835_837_881_928,252_254_286_316,0.343278245405688_1.35672446761629_1.63276847062662_1.14277353268741,0.0425531914893617,0.06153846153846154,0,0,0
7,13,2,449,325,1914,2014,0.00,5,1.05073641581197,1.2923405771080938,-0.5,-0.5,0.25,0.5,0.5,0.5,1.0,1.0,449_427_396_367_325,1914_1927_1944_1988_2014,1.90928172780406_1.05073641581197_-2.0_0.917003587708251_-2.0,0.04,0.04950495049504951,0,0,0
9,13,2,826,856,1731,1774,0.02,4,1.36565208940645,1.4390006819063772,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,826_829_851_856,1731_1741_1762_1774,2.25930081332553_0.765397735487079_1.46724278956783_1.26406138924507,0.12903225806451613,0.09090909090909091,0,0,0
1,8,6,947,1272,1001,1143,0.00,50,1.01763661697605,1.149519142688138,0.36,0.72,0.9,0.92,0.92,0.94,0.98,0.98,947_949_952_962_964_969_973_974_983_985_989_990_994_997_999_1001_1002_1015_1023_1049_1051_1057_1060_1067_1072_1080_1096_1105_1110_1115_1121_1124_1129_1130_1133_1136_1146_1151_1155_1165_1168_1197_1207_1208_1220_1223_1230_1231_1254_1272,1001_1002_1006_1018_1019_1020_1022_1025_1030_1031_1033_1035_1037_1039_1040_1041_1044_1047_1053_1063_1064_1065_1066_1069_1072_1075_1086_1089_1090_1092_1094_1097_1099_1100_1101_1102_1105_1107_1109_1110_1112_1116_1123_1124_1127_1129_1131_1135_1139_1143,1.01367616077217_0.80942924176802_1.46267121895278_2.02791364759153_2.27879903990465_1.1567657620523_0.584211141752918_1.77087829411889_2.09987291265229_1.61321432713424_1.1180656457075_0.930237496008184_1.44233498903365_1.62756440230268_0.862673869063682_1.04326352660075_0.653429973847365_0.405661898399101_1.00206424915286_1.24252841071487_0.538560245622548_1.59092900276873_1.91926694805686_0.608927751638477_1.13327002130211_4.30921659974912_0.87389446031226_1.24823227651782_0.773403409593476_0.946373113400959_0.239041938345493_0.761242580373898_0.619251657397436_1.02159707317993_0.987478769726371_0.678597392625002_0.566333638966734_1.03728570376577_0.945436212459876_1.56684971630305_1.12586701677459_0.614879772029132_0.583478637947684_0.441601806766467_1.32387553389981_1.12905052893004_0.799763569837415_2.17440414502035_0.530139934848235_1.24245146871683,0.15337423312883436,0.34965034965034963,0,0,0
2,8,6,792,584,890,989,0.00,35,1.27237777118086,1.3061937149359046,0.35294117647058826,0.7058823529411765,0.9411764705882353,0.9705882352941176,1.0,1.0,1.0,1.0,792_789_780_779_774_772_761_754_752_750_748_745_739_738_731_723_719_714_713_706_703_700_689_685_676_674_673_671_659_650_648_639_633_631_584,890_892_896_897_899_901_905_907_910_911_912_913_914_916_921_927_929_931_932_935_936_941_945_948_952_954_955_957_964_969_971_975_977_980_989,1.07293120108751_2.07232606025374_0.277497439782177_0.653251212410545_0.873605966650499_0.430767787029945_0.954058432388713_0.91115407108798_1.21868577627077_0.864865166947291_0.797275401324367_1.12392833387494_2.0627122235441_1.0240525561967_1.40600248014972_1.56770607451268_0.576672625882332_1.27237777118086_1.45086386154751_0.61259006124678_0.817485287654681_3.50569921223846_1.27721239052012_1.67313089110141_1.35781857258556_1.91227596424978_1.34137690904402_1.51143363184229_0.928323097114516_0.912624429564651_2.50438180226458_1.53068506502053_1.91353882067894_1.42597025238041_1.88149919312755,0.1674641148325359,0.35,0,0,0
12,8,6,591,390,687,890,0.00,26,1.31160905277703,1.3334466313246576,0.32,0.88,0.92,0.96,1.0,1.0,1.0,1.0,591_589_588_584_580_575_567_561_554_529_525_508_497_492_486_484_482_480_474_458_452_447_444_439_436_390,687_688_689_693_695_696_703_705_714_751_753_765_777_827_854_855_856_859_862_868_870_873_876_885_886_890,1.2792588518311_1.86970411611395_2.31688908195834_1.6061765950356_1.55845587472846_2.57472801447989_1.45771636390298_0.690805690143243_1.34395925372296_0.624056116379494_0.817157119402655_0.99687496200873_1.52460424713657_1.58791801513664_1.000175250683_1.60431431814729_1.15595769606597_0.810611293450104_1.66138715996634_1.23908985860944_1.59229058620993_1.23250094577249_1.03168141932823_-2.0_0.426406321578376_-2.0,0.12871287128712872,0.12745098039215685,0,0,0
13,8,6,195,340,526,621,0.00,22,1.0297868507774,1.0540603453466517,0.5909090909090909,0.8181818181818182,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,195_199_202_204_208_217_223_231_232_245_252_255_258_263_270_271_276_282_291_292_299_340,526_527_529_531_537_543_546_549_552_555_558_561_563_567_570_571_574_578_585_586_589_621,0.627379363392481_1.03388655513548_0.564918195775394_1.46176013812834_0.619054375327949_1.3478993943929_1.00164741560583_1.73259922397208_1.69359316594078_1.0297868507774_1.1882343673776_1.55052907051412_0.617077709068143_1.19909963567179_0.768787291118319_0.496574471763611_0.92739742490636_0.428098757920168_1.18422911327396_-2.0_0.931599743746551_1.73111498847043,0.1506849315068493,0.22916666666666666,0,0,0
14,8,6,906,946,715,748,0.00,15,1.05599965221705,1.2119651261502187,0.4666666666666667,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,1.0,906_910_919_920_921_922_923_927_928_931_934_935_939_942_946,715_722_726_729_731_732_733_737_738_740_741_742_743_744_748,2.11860910461336_0.789526940523023_1.12982900472147_1.11712049100629_1.53322173356946_0.633451013048397_0.868955407178746_1.84170269281426_0.55509818291633_2.1085242815256_0.704801638279628_1.77587324788968_1.05599965221705_0.946260388366987_1.000503113583,0.36585365853658536,0.4411764705882353,0,0,0
15,8,6,915,745,696,806,0.00,12,0.984031492505512,1.130630928237739,0.2727272727272727,0.5454545454545454,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,1.0,915_910_889_842_829_828_800_799_797_796_794_745,696_722_737_781_785_788_795_797_799_801_804_806,0.883907314268244_0.789526940523023_2.12960598966923_-2.0_0.822244276729485_0.770894969734088_1.15670310040012_1.08415567074278_0.85443037763644_1.2074853795336_-2.0_1.60735526314038,0.07017543859649122,0.10810810810810811,0,0,0
