num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,1,8,748,644,974,992,0.00,7,1.14305202805571,1.8840380634267084,-0.8333333333333334,-0.3333333333333333,-0.3333333333333333,-0.16666666666666666,-0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,748_747_744_739_732_691_644,974_975_976_977_978_990_992,3.5361907874603_1.14305202805571_0.972871374764115_-2.0_-2.0_-2.0_-2.0,0.06666666666666667,0.3684210526315789,0,0,0
2,1,8,2056,1933,883,974,0.00,7,1.66498900049165,1.9469042294767478,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,2056_2049_2008_2007_1992_1977_1933,883_889_922_934_953_969_974,4.44312269495579_1.12012146558431_1.29894035015665_0.741164957654187_2.03103765082665_-2.0_2.0470382576829,0.056451612903225805,0.07608695652173914,0,0,0
3,1,8,2395,2316,243,315,0.00,5,1.3598666268273265,1.3598666268273265,-0.5,-0.25,-0.25,0.0,0.25,0.75,0.75,0.75,2395_2370_2359_2358_2316,243_288_311_312_315,-2.0_2.01990495604419_0.699828297610463_-2.0_-2.0,0.0625,0.0684931506849315,0,0,0
1,13,3,856,510,457,615,0.00,50,1.31697588152328,1.455473779356945,0.6326530612244898,0.8163265306122449,0.9387755102040817,0.9795918367346939,0.9795918367346939,1.0,1.0,1.0,856_844_843_837_836_807_805_803_802_790_787_770_761_757_756_746_741_735_733_719_701_687_678_677_661_655_652_650_645_643_640_632_630_629_628_627_626_625_622_621_617_596_584_577_568_567_566_560_557_510,457_470_471_473_474_476_477_478_480_481_483_485_486_489_490_491_492_493_495_497_502_506_510_511_514_515_517_518_519_520_524_527_529_530_531_535_536_537_538_539_542_548_553_554_561_562_563_609_611_615,1.36320963604079_1.24011486302321_1.240603568514_2.11582322400958_2.32431106648039_1.27200410479724_-2.0_1.3331595239835_2.47718606397965_0.682536803213008_1.85469784405596_1.39504051249821_-2.0_1.27764397929608_1.0085350878313_0.585933692821346_0.757723230212454_2.46830791406351_1.61176685663876_1.39875310198696_-2.0_2.60666372167977_1.00570167076571_0.738393010127316_0.977053856571686_2.65368845335332_1.24093929944653_0.879171775992668_1.00143830005023_2.24338234276358_1.31697588152328_1.23801065322611_0.774676785664901_1.25164762298327_1.23312464246022_-2.0_-2.0_1.23527231347013_1.9361333764362_1.3175137586577_2.07417948118719_-2.0_1.44159843816533_-2.0_-2.0_-2.0_1.69816179627551_1.49239914067425_-2.0_-2.0,0.1440922190201729,0.31446540880503143,0,0,0
5,13,3,941,1007,459,467,0.00,6,1.24478374430256,1.2513596784183034,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,941_953_972_988_1001_1007,459_460_461_464_466_467,1.51999094627663_1.07347292978595_1.20005731986043_1.38123685404818_1.28951016874469_1.04388985179394,0.08955223880597014,0.6666666666666666,0,0,0
7,13,3,323,365,685,734,0.01,5,1.55687592746707,1.380369736416762,0.0,0.6,0.6,0.8,0.8,0.8,0.8,1.0,323_325_331_334_365,685_697_713_724_734,1.26969938904586_1.78958688251499_1.55687592746707_0.65390855191738_1.63177793113851,0.11627906976744186,0.1,0,0,0
8,13,3,1773,1882,875,982,0.00,5,1.319745369596765,1.3510307966248747,0.0,0.4,0.4,0.6,0.8,0.8,0.8,0.8,1773_1806_1825_1861_1882,875_885_903_941_982,1.62668832462111_1.01280241457242_0.871800808290429_1.89283163901554_-2.0,0.045454545454545456,0.046296296296296294,0,0,0
9,13,3,666,577,1444,1501,0.00,5,1.58427603140707,1.3506560272941508,-0.5,-0.5,-0.25,0.0,0.25,0.5,0.75,0.75,666_652_643_626_577,1444_1451_1452_1500_1501,0.873499375562512_-2.0_-2.0_1.58427603140707_1.59419267491287,0.05555555555555555,0.08620689655172414,0,0,0
10,13,3,2192,2107,1944,1993,0.00,5,1.161537360558105,1.161537360558105,0.0,0.25,0.25,0.25,0.5,0.75,0.75,0.75,2192_2187_2180_2156_2107,1944_1957_1963_1985_1993,-2.0_-2.0_1.17253190166666_-2.0_1.15054281944955,0.05813953488372093,0.1,0,0,0
16,6,8,412,162,394,454,0.00,24,1.376160416038265,1.385543425519778,0.4782608695652174,0.8695652173913043,0.9565217391304348,0.9565217391304348,0.9565217391304348,1.0,1.0,1.0,412_411_408_385_381_376_372_368_367_353_350_346_343_342_339_305_273_255_253_252_251_250_204_162,394_395_396_397_398_399_400_401_402_409_413_415_416_417_420_425_439_444_445_446_447_448_453_454,1.98117505591551_1.35719723460231_1.91042322253911_-2.0_0.817485686792116_-2.0_2.36685945733579_0.62897729168652_1.46395675419621_0.60826014393843_1.25436007448305_-2.0_2.40413977566017_0.510228441549879_1.20493155031198_-2.0_-2.0_1.32260835834482_1.56062950765999_1.48085691956973_1.25957451365368_1.39512359747422_1.41299407364249_-2.0,0.09561752988047809,0.39344262295081966,0,0,0
