CSR1:Ac1:0-830:Os3:1829-3805	CSR1:Ac1:0-830:Os7:2249-2979
CSR2:Ac1:652-1802:Os1:4169-5316	CSR2:Ac1:652-1802:Os5:1748-3330
CSR3:Ac2:0-1263:Os8:1456-2706	CSR3:Ac2:0-1263:Os9:752-2112
CSR4:Ac3:0-1278:Os2:2620-3459	CSR4:Ac3:0-1278:Os4:2244-3189
CSR5:Ac4:0-1286:Os1:833-2085	CSR5:Ac4:0-1286:Os5:0-2060
CSR6:Ac5:0-634:Os2:524-1887	CSR6:Ac5:0-634:Os6:1340-2703
CSR7:Ac5:334-1232:Os8:2393-2997	CSR7:Ac5:334-1232:Os9:1588-2467
CSR8:Ac6:0-1083:Os2:3249-4340	CSR8:Ac6:0-1083:Os6:0-1655
CSR9:Ac7:0-585:Os3:2391-3597	CSR9:Ac7:0-585:Os12:1988-2721
CSR10:Ac7:585-1003:Os2:0-524	CSR10:Ac7:585-1003:Os9:1588-2467
CSR11:Ac7:764-1182:Os1:3752-4169	CSR11:Ac7:764-1182:Os5:2268-2893
CSR12:Ac8:0-1105:Os3:0-1414	CSR12:Ac8:0-1105:Os10:0-2483
CSR13:Ac9:0-1138:Os3:3493-4595	CSR13:Ac9:0-1138:Os7:0-2354
CSR14:Ac10:0-886:Os1:0-1355	CSR14:Ac10:0-886:Os5:0-1332
CSR15:Ac11:0-911:Os1:3064-3961	CSR15:Ac11:0-911:Os5:2372-2935
CSR16:Ac12:0-381:Os3:3908-4595	CSR16:Ac12:0-381:Os7:583-1416
CSR17:Ac12:262-679:Os11:1961-2692	CSR17:Ac12:262-679:Os12:1465-1988
CSR18:Ac13:0-823:Os11:0-3005	CSR18:Ac13:0-823:Os12:0-2721
CSR19:Ac14:0-300:Os4:2769-3503	CSR19:Ac14:0-300:Os8:0-1457
CSR20:Ac14:239-599:Os1:833-1876	CSR20:Ac14:239-599:Os5:1040-2060
CSR21:Ac14:599-923:Os8:1144-1769	CSR21:Ac14:599-923:Os9:0-753
CSR22:Ac15:0-900:Os3:1101-2246	CSR22:Ac15:0-900:Os10:0-1523
CSR23:Ac16:0-758:Os1:2293-2898	CSR23:Ac16:0-758:Os5:2913-3330
CSR24:Ac17:0-875:Os11:0-2066	CSR24:Ac17:0-875:Os12:0-1779
CSR25:Ac18:0-850:Os3:1101-2246	CSR25:Ac18:0-850:Os7:2561-3291
CSR26:Ac19:0-735:Os2:0-1048	CSR26:Ac19:0-735:Os6:2388-3478
CSR27:Ac20:0-752:Os2:2096-3040	CSR27:Ac20:0-752:Os4:1615-2538
CSR28:Ac21:0-771:Os2:1572-3040	CSR28:Ac21:0-771:Os4:985-2538
CSR29:Ac22:0-551:Os2:0-419	CSR29:Ac22:0-551:Os6:0-503
CSR30:Ac22:430-778:Os2:3878-4340	CSR30:Ac22:430-778:Os6:3121-3478
CSR31:Ac23:0-370:Os1:3960-4795	CSR31:Ac23:0-370:Os5:2060-2789
CSR32:Ac23:298-645:Os1:1459-2085	CSR32:Ac23:298-645:Os5:0-708
CSR33:Ac24:0-419:Os6:0-503	CSR33:Ac24:0-419:Os8:0-520
CSR33:Ac24:0-419:Os9:1797-2321:1
CSR34:Ac25:0-449:Os4:3293-3734	CSR34:Ac25:0-449:Os9:2007-2467
CSR34:Ac25:206-449:Os8:2705-2997:1
