+++++++++++++++++ MAXIMUM GAP LENGTH 50 50
the 1th path length 147
Ac08g017044 1096.00 Sb01g280700 2807.00 -1
Ac08g017043 1095.00 Sb01g280900 2809.00 1
Ac08g017031 1083.00 Sb01g281100 2811.00 -1
Ac08g017026 1078.00 Sb01g281300 2813.00 1
Ac08g017025 1077.00 Sb01g281500 2815.00 1
Ac08g017019 1071.00 Sb01g281600 2816.00 -1
Ac08g017010 1062.00 Sb01g281800 2818.00 1
Ac08g017009 1061.00 Sb01g282100 2821.00 1
Ac08g017007 1059.00 Sb01g282400 2824.00 1
Ac08g017006 1058.00 Sb01g282500 2825.00 -1
Ac08g017005 1057.00 Sb01g282600 2826.00 -1
Ac08g017003 1055.00 Sb01g282700 2827.00 -1
Ac08g017002 1054.00 Sb01g282800 2828.00 -1
Ac08g017001 1053.00 Sb01g282900 2829.00 -1
Ac08g017000 1052.00 Sb01g283000 2830.00 -1
Ac08g016995 1047.00 Sb01g283400 2834.00 1
Ac08g016994 1046.00 Sb01g283500 2835.00 1
Ac08g016993 1045.00 Sb01g283700 2837.00 1
Ac08g016991 1043.00 Sb01g284400 2844.00 1
Ac08g016989 1041.00 Sb01g284600 2846.00 -1
Ac08g016988 1040.00 Sb01g284900 2849.00 -1
Ac08g016974 1026.00 Sb01g285100 2851.00 -1
Ac08g026871 1016.00 Sb01g285200 2852.00 1
Ac08g026870 1015.00 Sb01g285400 2854.00 1
Ac08g026869 1014.00 Sb01g285800 2858.00 -1
Ac08g018875 1013.00 Sb01g287600 2876.00 1
Ac08g018874 1012.00 Sb01g287800 2878.00 -1
Ac08g018870 1008.00 Sb01g288100 2881.00 -1
Ac08g018864 1003.00 Sb01g288500 2885.00 -1
Ac08g018861 1000.00 Sb01g288700 2887.00 -1
Ac08g018853 992.00 Sb01g289100 2891.00 -1
Ac08g018848 987.00 Sb01g289900 2899.00 -1
Ac08g018847 986.00 Sb01g290000 2900.00 -1
Ac08g018846 985.00 Sb01g290400 2904.00 1
Ac08g018845 984.00 Sb01g290500 2905.00 1
Ac08g018843 982.00 Sb01g290700 2907.00 1
Ac08g018841 980.00 Sb01g291100 2911.00 1
Ac08g018839 978.00 Sb01g291800 2918.00 -1
Ac08g018836 975.00 Sb01g292000 2920.00 -1
Ac08g018834 973.00 Sb01g292100 2921.00 -1
Ac08g018833 972.00 Sb01g292200 2922.00 -1
Ac08g022303 955.00 Sb01g292900 2929.00 -1
Ac08g011632 944.00 Sb01g293600 2936.00 -1
Ac08g011637 940.00 Sb01g293700 2937.00 -1
Ac08g011639 938.00 Sb01g293800 2938.00 -1
Ac08g011643 935.00 Sb01g294100 2941.00 1
Ac08g011644 934.00 Sb01g294200 2942.00 1
Ac08g011645 933.00 Sb01g294300 2943.00 1
Ac08g011646 932.00 Sb01g294400 2944.00 -1
Ac08g011649 929.00 Sb01g294700 2947.00 1
Ac08g011654 924.00 Sb01g294900 2949.00 1
Ac08g011658 920.00 Sb01g295100 2951.00 1
Ac08g011660 918.00 Sb01g295200 2952.00 -1
Ac08g011661 917.00 Sb01g295400 2954.00 1
Ac08g011665 913.00 Sb01g295700 2957.00 -1
Ac08g011669 909.00 Sb01g296300 2963.00 1
Ac08g011672 906.00 Sb01g296400 2964.00 -1
Ac08g011674 904.00 Sb01g296800 2968.00 1
Ac08g011681 897.00 Sb01g297500 2975.00 -1
Ac08g011682 894.00 Sb01g297600 2976.00 1
Ac08g011688 890.00 Sb01g297800 2978.00 -1
Ac08g011689 889.00 Sb01g297900 2979.00 1
Ac08g011698 881.00 Sb01g298400 2984.00 -1
Ac08g011706 873.00 Sb01g298800 2988.00 -1
Ac08g011707 872.00 Sb01g298900 2989.00 -1
Ac08g011710 869.00 Sb01g299200 2992.00 -1
Ac08g011713 866.00 Sb01g299600 2996.00 -1
Ac08g011715 864.00 Sb01g300900 3009.00 -1
Ac08g011724 856.00 Sb01g302100 3021.00 -1
Ac08g011722 855.00 Sb01g302200 3022.00 1
Ac08g011725 854.00 Sb01g302300 3023.00 -1
Ac08g011730 850.00 Sb01g303300 3033.00 -1
Ac08g011739 842.00 Sb01g304400 3044.00 1
Ac08g011741 840.00 Sb01g304500 3045.00 -1
Ac08g011750 831.00 Sb01g304800 3048.00 1
Ac08g011752 829.00 Sb01g305100 3051.00 -1
Ac08g011755 826.00 Sb01g305300 3053.00 -1
Ac08g011757 824.00 Sb01g305500 3055.00 1
Ac08g011759 822.00 Sb01g305600 3056.00 1
Ac08g011760 821.00 Sb01g305700 3057.00 -1
Ac08g011761 820.00 Sb01g306300 3063.00 -1
Ac08g011762 819.00 Sb01g307000 3070.00 -1
Ac08g011764 817.00 Sb01g308000 3080.00 -1
Ac08g011766 815.00 Sb01g308200 3082.00 1
Ac08g011768 813.00 Sb01g308400 3084.00 1
Ac08g011769 812.00 Sb01g308500 3085.00 1
Ac08g011770 811.00 Sb01g308600 3086.00 1
Ac08g011774 807.00 Sb01g308700 3087.00 1
Ac08g011775 806.00 Sb01g308900 3089.00 -1
Ac08g011779 803.00 Sb01g309200 3092.00 1
Ac08g011780 802.00 Sb01g309300 3093.00 1
Ac08g011781 801.00 Sb01g309400 3094.00 -1
Ac08g011787 795.00 Sb01g309600 3096.00 1
Ac08g011797 785.00 Sb01g310100 3101.00 1
Ac08g011801 781.00 Sb01g310200 3102.00 -1
Ac08g011802 780.00 Sb01g310300 3103.00 -1
Ac08g011831 752.00 Sb01g310500 3105.00 -1
Ac08g011846 738.00 Sb01g311800 3118.00 1
Ac08g011849 735.00 Sb01g311900 3119.00 -1
Ac08g011860 724.00 Sb01g312500 3125.00 1
Ac08g011866 718.00 Sb01g312600 3126.00 -1
Ac08g016661 708.00 Sb01g313200 3132.00 -1
Ac08g016656 703.00 Sb01g313600 3136.00 1
Ac08g016654 701.00 Sb01g313800 3138.00 -1
Ac08g016652 699.00 Sb01g314000 3140.00 1
Ac08g016648 695.00 Sb01g314200 3142.00 1
Ac08g016643 690.00 Sb01g314400 3144.00 1
Ac08g016642 689.00 Sb01g314500 3145.00 -1
Ac08g016635 683.00 Sb01g314600 3146.00 1
Ac08g016634 682.00 Sb01g314700 3147.00 1
Ac08g016633 681.00 Sb01g314800 3148.00 -1
Ac08g016614 663.00 Sb01g315100 3151.00 -1
Ac08g016611 660.00 Sb01g315500 3155.00 1
Ac08g016608 657.00 Sb01g315700 3157.00 1
Ac08g016605 654.00 Sb01g315800 3158.00 1
Ac08g016604 653.00 Sb01g316000 3160.00 -1
Ac08g016599 648.00 Sb01g316100 3161.00 -1
Ac08g016598 647.00 Sb01g316200 3162.00 1
Ac08g016593 642.00 Sb01g316700 3167.00 1
Ac08g016587 636.00 Sb01g316900 3169.00 -1
Ac08g016582 631.00 Sb01g317300 3173.00 1
Ac08g016581 630.00 Sb01g317600 3176.00 -1
Ac08g013929 627.00 Sb01g318500 3185.00 -1
Ac08g013927 625.00 Sb01g318700 3187.00 -1
Ac08g013925 623.00 Sb01g318900 3189.00 -1
Ac08g013924 622.00 Sb01g319000 3190.00 -1
Ac08g013922 620.00 Sb01g319200 3192.00 -1
Ac08g013919 617.00 Sb01g319300 3193.00 -1
Ac08g013918 616.00 Sb01g319700 3197.00 -1
Ac08g013914 612.00 Sb01g319900 3199.00 -1
Ac08g013912 610.00 Sb01g320000 3200.00 1
Ac08g013911 609.00 Sb01g320200 3202.00 -1
Ac08g013906 604.00 Sb01g320300 3203.00 1
Ac08g013904 602.00 Sb01g320400 3204.00 1
Ac08g013895 597.00 Sb01g320700 3207.00 -1
Ac08g013893 595.00 Sb01g320900 3209.00 1
Ac08g013891 593.00 Sb01g321200 3212.00 1
Ac08g013889 591.00 Sb01g321400 3214.00 1
Ac08g013886 588.00 Sb01g321500 3215.00 1
Ac08g013879 581.00 Sb01g321800 3218.00 1
Ac08g013877 579.00 Sb01g321900 3219.00 -1
Ac08g013876 578.00 Sb01g322000 3220.00 -1
Ac08g013875 577.00 Sb01g322100 3221.00 1
Ac08g013874 576.00 Sb01g322200 3222.00 1
Ac08g013872 574.00 Sb01g322500 3225.00 -1
Ac08g013870 572.00 Sb01g322600 3226.00 -1
