num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,1,2,1895,1914,660,696,0.02,4,1.8944500924606,1.9313796159405676,0.25,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1895_1910_1913_1914,660_682_695_696,1.50998268060411_1.96928881624675_2.42663559823696_1.81961136867445,0.2,0.10810810810810811,0,0,0
2,1,1,265,8,1093,1222,0.00,29,1.80509600121067,1.8459093129310076,0.8620689655172413,0.9655172413793104,0.9655172413793104,1.0,1.0,1.0,1.0,1.0,265_255_232_203_199_197_196_193_185_184_183_175_173_147_138_130_128_114_100_65_46_39_32_26_22_19_13_12_8,1093_1097_1100_1144_1147_1148_1151_1152_1154_1155_1156_1157_1159_1164_1168_1169_1171_1172_1180_1191_1204_1206_1211_1212_1214_1215_1216_1217_1222,2.93159398863505_0.877856035767842_2.01501403395337_2.91811821156903_0.938580527115892_1.97028609695732_-2.0_2.74411250905909_1.82414343096757_2.6562913573332_4.45117064671465_-2.0_1.0258016101985_0.949918163050911_2.44960816762219_1.17204124945539_1.80509600121067_1.33084122164411_-2.0_0.578650262825862_1.33718429696586_1.48384305046636_2.63550436553064_2.22184995703583_-2.0_0.391910871445585_1.5364342768975_2.28014787859861_1.62173461225416,0.1124031007751938,0.2230769230769231,0,0,0
3,1,1,255,414,1097,1140,0.00,19,1.4279724378708099,1.3564926507842672,0.7894736842105263,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315,1.0,1.0,1.0,255_282_284_294_312_313_326_327_328_336_338_345_362_363_365_366_371_383_414,1097_1101_1103_1104_1106_1107_1109_1110_1111_1115_1116_1117_1119_1120_1121_1122_1125_1127_1140,0.877856035767842_2.34526199732193_1.46117679862409_0.47997207029196_2.05442831996921_1.39476807711753_0.841654101186285_2.33633552293057_0.864182285228232_1.770834324331_1.03595056541394_0.367180081041682_0.77539535977335_2.18154067242325_-2.0_0.515515832281452_1.8294932105468_1.67927836196165_1.60604409790604,0.11875,0.4318181818181818,0,0,0
4,1,1,674,448,665,715,0.00,13,1.328544720023535,1.5732506319848998,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,674_672_644_633_631_630_585_559_514_510_502_495_448,665_667_668_682_684_687_692_694_698_706_708_710_715,1.54449905910202_2.95461952653443_2.51357038525752_1.36541438511248_3.93435656930113_-2.0_0.828175869287284_1.29167505493459_1.79159950470799_0.305875782326978_0.765773818445506_0.790742934608209_0.792704694200659,0.05726872246696035,0.2549019607843137,0,0,0
5,1,1,2561,2693,724,854,0.00,12,1.20774966948731,1.296622513406217,0.75,0.75,0.75,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.9166666666666666,2561_2610_2620_2626_2633_2635_2647_2672_2677_2679_2686_2693,724_771_781_784_785_788_792_797_802_803_805_854,2.07397105790791_0.304648796478316_0.76455778651325_2.65267422135448_1.44184481643438_0.85912190592522_0.693253059710088_1.106074617552_1.30942472142262_0.644656670035262_2.2777420840619_1.43150042347918,0.09022556390977443,0.0916030534351145,0,0,0
6,1,1,2612,2494,770,847,0.00,8,1.26857693558057,1.272997927464124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2612_2610_2603_2600_2555_2543_2539_2494,770_771_773_774_817_821_822_847,1.26857693558057_0.304648796478316_-2.0_1.79632820090045_1.35253145731779_0.667357930342943_2.40331552964148_1.11822664198732,0.06722689075630252,0.10256410256410256,0,0,0
7,1,1,546,729,690,737,0.00,7,0.998231654856177,1.2517907175328329,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,546_585_623_654_692_704_729,690_692_693_715_726_731_737,0.538708258733603_0.828175869287284_2.01161464540208_2.76789360477459_0.606741068191106_0.998231654856177_1.01116992148499,0.03804347826086957,0.14583333333333334,0,0,0
8,1,1,1311,1111,613,731,0.00,7,0.823628090667891,0.8802992458538549,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1311_1263_1260_1216_1183_1157_1111,613_644_645_660_701_729_731,0.623035523491779_1.04989229895076_-2.0_1.49020704120978_0.414733274949064_0.823628090667891_-2.0,0.03482587064676617,0.058823529411764705,0,0,0
9,1,1,1450,1292,696,770,0.00,7,1.880366921939635,1.9256649733913578,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1450_1404_1372_1351_1340_1327_1292,696_741_746_750_765_767_770,0.289288389135636_1.93567126921273_1.82506257466654_1.70653308289837_3.04415578708036_2.75327873735451_-2.0,0.0440251572327044,0.09333333333333334,0,0,0
10,1,1,455,365,1131,1142,0.00,5,1.4195456337166301,1.3571826731075536,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,455_454_452_414_365,1131_1132_1136_1140_1142,0.983595327090915_1.52355881500887_1.31553245242439_1.60604409790604_-2.0,0.054945054945054944,0.4166666666666667,0,0,0
