num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,9,5,628,527,2032,2129,0.00,11,1.32316841969156,1.4480917777515103,0.2,0.6,0.7,0.9,1.0,1.0,1.0,1.0,628_608_605_600_599_597_593_590_576_575_527,2032_2079_2082_2085_2087_2089_2091_2092_2098_2102_2129,1.27879215838108_-2.0_1.89544101971322_0.874184305204936_1.10463225182291_1.20977627896121_1.40884224851571_2.18780322318858_2.26708683831528_0.886814772410139_1.36754468100204,0.10784313725490197,0.11224489795918367,0,0,0
3,9,5,476,549,1994,2018,0.00,8,1.2361704379243652,1.4002991509672431,0.25,0.5,0.625,0.875,1.0,1.0,1.0,1.0,476_491_493_499_509_522_539_549,1994_2003_2004_2009_2011_2012_2015_2018,0.917918800768701_1.22477837083123_0.841222243916143_1.41958490365745_1.44479006427991_1.1648313283038_1.2475625050175_2.94170499096321,0.10810810810810811,0.32,0,0,0
4,9,5,460,614,30,60,0.00,7,1.24522946718927,1.2287724339700314,0.5714285714285714,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,460_472_518_550_551_595_614,30_31_39_40_41_47_60,1.36448980651266_1.28948768629704_1.17928251379154_1.0088857844057_1.34845783562763_1.24522946718927_1.16557394396638,0.04516129032258064,0.22580645161290322,0,0,0
7,9,5,278,375,1241,1322,0.00,5,1.23852120464134,1.3033028027039357,0.2,0.4,0.4,0.6,0.6,0.8,0.8,1.0,278_293_320_344_375,1241_1251_1270_1291_1322,0.911068357501871_1.279071446878_2.14948978080675_0.938363223691718_1.23852120464134,0.05102040816326531,0.06097560975609756,0,0,0
8,9,5,127,1,314,434,0.00,5,1.48776139516615,1.5293665118119975,-0.25,-0.25,0.5,0.75,0.75,0.75,1.0,1.0,127_100_82_39_1,314_340_368_396_434,2.03067126098059_1.75745666726125_1.21806612307105_1.1112719959351_-2.0,0.03937007874015748,0.04132231404958678,0,0,0
9,9,5,756,659,42,47,0.00,5,1.136563327111775,1.2730728324385043,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,756_737_713_708_659,42_43_45_46_47,0.883710734629897_1.93545394090057_-2.0_1.22963099552438_1.04349565869917,0.05102040816326531,0.8333333333333334,0,0,0
14,6,7,395,507,2084,2389,0.00,29,1.12889542474654,1.128165604756649,0.4482758620689655,0.5517241379310345,0.6551724137931034,0.7586206896551724,0.8620689655172413,0.896551724137931,0.9310344827586207,0.9655172413793104,395_425_426_428_430_432_433_435_436_437_439_440_442_443_445_450_455_457_464_466_469_472_473_474_475_477_479_489_507,2084_2132_2133_2140_2161_2165_2166_2178_2193_2194_2198_2199_2201_2204_2207_2221_2233_2235_2238_2253_2269_2280_2281_2283_2288_2289_2339_2348_2389,0.565266128592231_0.848994918825484_0.466905722144963_1.62879037318568_0.763304733492565_1.30429826418141_1.12889542474654_1.33702539340448_1.13589659874299_2.01907839971009_0.533061282027716_1.77058661620548_2.37485541218778_1.22816113612768_-2.0_0.81010012649555_1.31310189531586_1.6939511552663_0.770448155902981_1.03644708602639_0.628110336232836_0.753329900701534_0.715820097904231_0.650388659572439_0.966478794733298_1.66979118605374_1.19358192616127_1.15380160448801_-2.0,0.25663716814159293,0.09477124183006536,0,0,0
15,6,7,5,111,652,815,0.00,27,1.1858821662179,1.2319828413503922,0.5555555555555556,0.8148148148148148,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.9629629629629629,1.0,1.0,5_6_9_14_24_25_28_29_30_32_34_35_36_37_44_46_50_57_63_75_77_93_95_98_101_109_111,652_653_657_660_678_679_681_683_684_685_694_700_701_702_710_740_754_768_770_777_780_788_791_794_805_810_815,1.02720825603895_1.19119493817408_0.907496777626791_2.61577269883829_0.492729063575584_1.22069244028005_1.2510192999852_1.56776008137158_0.638308602447043_1.33896807074322_1.48219201089116_1.08123467146697_0.91289824695781_1.33543962647245_1.25871210562378_1.38059167235129_1.34994208490042_0.867765050828432_1.13167749617869_0.964745502997846_2.44508908755167_1.18056939426172_-2.0_0.773240596120367_0.927571970361694_1.12124984382814_1.56748428523697,0.2523364485981308,0.16463414634146342,0,0,0
16,6,7,121,5,2349,2442,0.00,24,1.22730344193045,1.2219683030675006,0.6956521739130435,0.9565217391304348,1.0,1.0,1.0,1.0,1.0,1.0,121_108_107_104_101_99_92_91_89_88_87_85_83_82_81_79_64_63_62_61_58_56_51_5,2349_2362_2365_2369_2370_2374_2379_2380_2384_2385_2388_2389_2391_2394_2395_2401_2415_2417_2418_2425_2426_2434_2437_2442,0.863248669058959_1.39791151558255_1.26269856328037_1.60628049478858_0.561478152974397_1.56159767370283_0.75824901256183_0.572450824295374_1.0507186477211_1.61910336441365_1.05192625328419_0.831550374424584_1.99623438943312_1.22730344193045_1.38397390355728_1.0214443275772_2.04160671925805_1.70244284746165_1.29191022175123_1.31903001764895_0.8323962504123_1.17030354606259_0.981411759371278_-2.0,0.20512820512820512,0.2553191489361702,0,0,0
17,6,7,170,73,571,641,0.00,20,1.2387662637442851,1.1784319921256925,0.47368421052631576,0.8421052631578947,1.0,1.0,1.0,1.0,1.0,1.0,170_168_166_164_161_160_158_151_150_149_148_145_141_139_137_134_125_124_123_73,571_572_574_575_578_579_584_591_599_600_601_606_608_609_610_612_632_634_635_641,1.4692025166817_1.18952484752113_1.85808689480721_1.82429940784839_1.24964304676991_0.982712579115062_-2.0_1.46477071261813_1.35142358729956_0.500769184042482_1.22788948071866_0.752860755904316_0.759455084493045_1.2655021205712_0.360158240959787_1.64449767450649_1.33035733480934_1.21700791114168_0.763614478454372_-2.0,0.20408163265306123,0.28169014084507044,0,0,0
