num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,11,10,381,293,130,240,0.00,5,1.31608954910755,1.206921321381952,0.25,0.75,0.75,0.75,0.75,1.0,1.0,1.0,381_357_342_341_293,130_167_190_239_240,0.748306129491138_1.31608954910755_1.7549938154801_1.49871030122998_0.716506811600992,0.056179775280898875,0.04504504504504504,0,0,0
2,11,10,702,779,413,443,0.02,4,1.0671970630066985,1.0199002572584333,-0.25,0.25,0.25,0.25,0.75,0.75,0.75,0.75,702_749_777_779,413_423_433_443,1.17805907387585_1.38713754868934_0.558069354330996_0.956335052137547,0.05128205128205128,0.12903225806451613,0,0,0
3,19,5,210,378,120,282,0.00,7,1.02877167127406,1.0560269939281,-0.14285714285714285,-0.14285714285714285,0.0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.7142857142857143,0.7142857142857143,210_237_286_334_350_362_378,120_141_145_184_227_276_282,-2.0_1.02877167127406_0.587928937369967_1.42504702783908_0.997783764643393_-2.0_1.240603568514,0.04142011834319527,0.04294478527607362,0,0,0
5,16,7,424,300,475,533,0.00,7,1.0181785928275011,1.1794538194716429,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,424_386_336_328_322_321_300,475_487_497_500_508_513_533,0.491860310643434_-2.0_1.3199237753693_0.618262170306751_0.716433410285702_2.15379750394189_1.77644574628278,0.056,0.11864406779661017,0,0,0
6,16,7,102,11,478,596,0.00,6,1.238186680760645,1.3892057536872489,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,102_64_19_14_12_11,478_487_533_561_596_596,0.334070595745042_1.55186221401068_1.26980704739315_1.12014061619105_1.20656631412814_2.85278773465543,0.06521739130434782,0.05042016806722689,0,0,0
7,16,7,140,48,311,379,0.00,5,1.23295375415517,1.040185573826153,-0.5,0.0,0.25,0.25,0.5,0.75,0.75,0.75,140_138_96_89_48,311_350_358_360_379,1.48509527604364_0.402507691279649_1.23295375415517_-2.0_-2.0,0.053763440860215055,0.07246376811594203,0,0,0
9,2,4,519,356,569,659,0.00,25,1.221699060057515,1.1685200984494541,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,519_517_516_506_499_490_488_483_482_479_478_473_469_468_461_459_456_444_443_439_433_411_407_406_356,569_573_574_580_582_587_589_591_593_595_598_606_608_609_617_618_619_623_624_625_635_647_648_649_659,1.3632466593655_1.7641434380106_1.34678520483602_1.71178678925739_1.32899432136546_1.7319028246296_1.16683407836487_0.743682898679962_0.734825676811085_0.512095192551253_1.38873656305285_1.74959915369291_1.43088087495286_-2.0_0.746480954644951_1.31759315354273_0.477680596677801_0.644192510817897_0.808765326715981_0.614864916443189_0.806206908436652_0.923488693662347_2.28829750615996_1.23005473289272_1.21334338722231,0.1524390243902439,0.27472527472527475,0,0,0
10,2,4,330,69,212,457,0.00,22,0.963398730782394,1.0876285195102784,0.8095238095238095,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,330_327_326_316_313_306_297_276_265_245_237_221_220_214_205_200_180_170_151_121_115_69,212_213_215_221_224_227_241_262_273_309_314_327_328_332_344_348_368_372_404_437_452_457,1.57573404061452_0.627200416169293_0.605021995458881_0.954724256859665_1.20603578483537_0.795254806847425_1.85174030595136_0.988107484006247_1.84537464707681_0.749722841339443_0.936884739492811_0.878004199353583_0.622761226555072_0.963398730782394_1.55574983441246_1.00276341035577_0.481018430351292_1.46320462309524_1.89543930710584_1.11927291510071_0.722784913951666_-2.0,0.08396946564885496,0.08943089430894309,0,0,0
12,2,4,912,769,931,989,0.00,16,0.995877795491138,0.8843175989193945,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,912_890_876_871_870_866_864_858_857_854_853_849_843_836_817_769,931_937_943_945_948_951_954_957_959_960_961_963_966_968_984_989,1.17368021821805_1.18730052596194_0.771498813540277_1.58955908250742_0.995877795491138_0.519224522728205_1.00603167692533_1.20268871322188_1.12854458668458_0.495890558048946_0.318803634364597_0.624490377280916_1.15194942226311_0.78954807013619_0.309675986418338_-2.0,0.1111111111111111,0.2711864406779661,0,0,0
13,2,4,1032,912,701,771,0.00,15,1.111863768526695,1.3499596635178361,0.7857142857142857,0.9285714285714286,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1032_1028_1015_1014_1011_1008_1004_993_987_984_981_976_971_961_912,701_712_720_721_726_732_733_738_741_742_744_745_747_752_771,1.06746246013178_0.507064994734123_2.44111519067585_1.04253503305383_2.01190802719635_0.858837117682196_3.35637558305068_1.59564142398781_0.896454017543263_-2.0_1.15626507692161_1.2067121563133_0.458663386845292_0.58827611790592_1.7121247032077,0.12396694214876033,0.2112676056338028,0,0,0
