num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,1,11,1304,1209,431,485,0.00,8,1.0340164179939475,1.0330266181276362,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1304_1295_1291_1286_1274_1261_1259_1209,431_434_435_439_445_483_484_485,0.926342240134893_1.32797823314908_1.43794546598364_0.980456789307035_0.752701207394041_1.15284122472436_0.59837173764718_1.08757604668086,0.08333333333333333,0.14545454545454545,0,0,0
2,1,11,2517,2612,553,630,0.01,5,1.16706894879661,1.33158744019023,-0.6,-0.6,-0.2,0.2,0.4,0.4,0.6,1.0,2517_2543_2579_2611_2612,553_576_607_611_630,1.11231266174028_1.16706894879661_1.30244481593951_0.99408261790941_2.08202815656534,0.052083333333333336,0.0641025641025641,0,0,0
3,1,11,831,769,145,166,0.00,5,1.031122690218785,0.9012415596983909,0.25,0.5,0.75,1.0,1.0,1.0,1.0,1.0,831_830_827_817_769,145_146_152_154_166,-2.0_1.16016524482918_1.02658060803071_0.382555613526814_1.03566477240686,0.07936507936507936,0.22727272727272727,0,0,0
1,3,3,1890,2178,4,274,0.00,81,1.0810756361626952,1.174545609493154,0.5432098765432098,0.7530864197530864,0.8271604938271605,0.8641975308641975,0.9259259259259259,0.9382716049382716,0.9753086419753086,0.9753086419753086,1890_1891_1897_1898_1899_1900_1902_1909_1920_1923_1930_1936_1938_1949_1952_1953_1968_1971_1973_1974_1982_1983_1985_1990_2000_2007_2017_2018_2027_2029_2031_2037_2041_2045_2048_2049_2054_2059_2060_2062_2063_2066_2067_2069_2070_2073_2076_2085_2086_2090_2097_2101_2103_2105_2107_2108_2111_2113_2128_2130_2142_2144_2145_2146_2148_2150_2151_2154_2156_2157_2160_2162_2165_2167_2169_2170_2172_2173_2174_2177_2178,4_8_11_13_14_16_18_21_31_32_33_36_39_41_45_47_49_82_84_85_87_88_90_91_106_120_125_127_132_135_137_139_142_144_146_147_151_161_163_167_168_171_172_177_179_180_181_190_192_193_198_202_209_210_211_214_217_220_221_222_226_227_229_232_235_238_241_244_247_248_250_252_254_255_257_260_262_264_268_272_274,1.41712204483143_1.27068521361786_0.60042792274326_0.715242117694266_1.5310634953765_0.907447044839266_0.701731738987962_1.35955621984315_1.87422993841422_1.05140247119664_0.93469192217389_-2.0_-2.0_0.337603161119818_1.70767437319652_-2.0_1.07489293899694_0.710730946318673_1.1478141668872_0.597462354871911_1.32302844712239_0.507888658995313_0.960533920884235_1.46523990249894_1.20174092708792_1.72393280369738_1.85326315322049_1.08539829643705_1.29026855558451_1.07675297588834_1.14305341577532_1.0963964086867_0.598642487808664_-2.0_0.66016649751579_0.741937766556101_1.06612236042921_-2.0_1.01364690085644_1.1313353252933_2.07756419401626_1.22563956159247_1.84611729369655_1.49977962286863_0.52431454698317_0.698078229639685_1.69892197983772_1.17876483918811_0.977681392854184_0.972153451050665_0.730604196742751_1.06951981963045_0.530814906195766_1.69920481077374_0.861303174509231_0.794136791622075_1.35670117413099_0.842565816620701_0.370016125394026_1.69145096023959_3.32037437046112_2.63726422118421_0.968591826160644_0.89713040741467_3.76485494401802_-2.0_0.541018990724404_0.78376047045401_1.60239046313704_1.46457391264699_1.12064961718563_-2.0_0.848074028683378_1.18723362055329_0.644770205553079_1.26656860555894_1.21222756418403_1.05986686925614_0.675363303882323_1.21420091811383_1.18300100028727,0.28027681660899656,0.2988929889298893,0,0,0
7,3,3,450,517,275,337,0.00,27,1.18608581023379,1.350557954353529,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,450_453_455_457_459_462_465_466_468_469_474_484_485_486_488_490_491_492_493_495_498_499_503_504_505_513_517,275_276_277_279_280_287_288_289_290_291_296_298_301_302_304_305_306_307_308_309_313_318_322_323_324_330_337,1.14624133331862_1.12482826713719_1.14682707325741_1.18608581023379_1.52840180401891_2.96975224417161_1.01543921093785_0.781184467700223_1.82263971324832_1.15072620944896_1.04846636616967_1.20072998041257_1.21749591439196_1.21622488914595_0.901201776746655_1.96634627022561_1.601135208726_2.9618779238745_0.972228015629959_0.679617026343518_1.06233438079491_1.22409699272713_0.976321551104493_1.28974213149504_1.45974446210783_2.19906343079219_0.616312313384421,0.39705882352941174,0.42857142857142855,0,0,0
10,3,3,501,337,264,342,0.00,5,1.01543921093785,0.9647570762556641,0.25,0.5,0.75,1.0,1.0,1.0,1.0,1.0,501_465_431_385_337,264_288_328_341_342,-2.0_1.01543921093785_-2.0_0.851111502999052_1.02772051483009,0.030303030303030304,0.06329113924050633,0,0,0
11,3,3,1502,1422,244,287,0.00,5,1.17444194997212,1.2127756145201347,0.25,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1502_1501_1469_1446_1422,244_245_246_281_287,0.823640067560099_0.808208952678725_1.37998861588691_1.87759848650282_1.17444194997212,0.06172839506172839,0.11363636363636363,0,0,0
17,3,18,178,77,132,194,0.00,5,1.10916063974838,1.1816964845031623,-0.5,-0.5,-0.25,0.25,0.25,0.5,0.75,0.75,178_133_132_127_77,132_182_183_187_194,1.18981645254989_1.10916063974838_1.0625373752792_1.82089504612525_0.726072908813093,0.049019607843137254,0.07936507936507936,0,0,0
3,6,14,1212,1586,598,809,0.00,45,1.160979907129825,1.206838084660908,0.6,0.7777777777777778,0.8888888888888888,0.9555555555555556,0.9777777777777777,0.9777777777777777,0.9777777777777777,1.0,1212_1213_1214_1216_1219_1236_1246_1252_1253_1256_1257_1258_1273_1274_1278_1289_1290_1306_1319_1321_1325_1329_1330_1368_1369_1401_1405_1414_1425_1443_1448_1478_1486_1501_1502_1512_1516_1524_1548_1555_1575_1581_1582_1585_1586,598_599_600_601_602_620_636_641_642_643_644_645_653_654_676_680_682_690_691_692_693_698_702_709_710_712_716_719_720_723_725_734_744_755_758_773_774_778_789_796_800_804_805_807_809,-2.0_1.41919805181312_0.541261327648233_1.47075833036768_1.37335709792132_0.497932770281189_4.6575392114149_1.15630294839491_2.43264276278703_0.478983811601708_1.20248423925556_1.733506729688_-2.0_0.740051143105917_1.31464863987107_1.20936502146259_0.316952949925265_-2.0_1.64454709966448_1.35102101279832_1.97030304390774_1.01950391334852_0.704811073702579_1.2161891754271_0.574339773149938_2.3158772210945_1.48205245916863_0.720121962152375_0.32329434077871_0.810177910022334_1.7615372912059_0.66780048602797_1.16565686586474_1.00085649711994_0.653470024457566_1.95811028966789_1.28247752716469_1.12512950032359_0.611174438857052_1.52536048862098_0.655651928216405_0.815668315744693_0.505968842879676_1.09093903259157_1.19017400626175,0.12,0.21226415094339623,0,0,0
4,6,14,12,277,246,351,0.00,36,1.136026875015345,1.1929365283882587,0.6944444444444444,0.8055555555555556,0.8611111111111112,0.9166666666666666,0.9444444444444444,0.9444444444444444,0.9722222222222222,0.9722222222222222,12_14_19_27_28_48_52_59_67_70_78_81_88_91_94_119_155_165_166_169_176_184_185_198_210_227_237_241_244_245_249_250_260_266_268_277,246_248_249_250_251_253_255_258_259_260_261_267_268_269_274_277_289_295_296_298_302_306_308_310_313_314_318_320_321_322_324_325_329_330_331_351,1.6774719750439_1.68876469527641_0.989445918590119_0.667573952466346_1.29729844470853_0.852808927121929_1.19953748905043_0.520238695642355_0.683066452185974_1.34182580367108_1.08381971183712_1.88108482296876_1.64350015807424_0.521035013694518_0.825809698564924_1.6984249408266_-2.0_0.912296493243371_0.734538594199926_0.746315268345505_0.811375028654252_1.49213195532346_0.977030733758722_0.495787868914619_1.18823403819357_1.67025935106964_1.59717805414174_1.27606470193181_1.8814382437972_1.08356274561475_-2.0_1.53343226529689_2.7598634275773_0.472153844686755_0.502788891333636_1.85368375939442,0.13533834586466165,0.33962264150943394,0,0,0
