num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,4,5,3174,3327,2598,2773,0.00,17,0.8172741693752226,0.9121613106114215,-0.35294117647058826,0.17647058823529413,0.23529411764705882,0.29411764705882354,0.5294117647058824,0.7058823529411765,0.7058823529411765,0.7647058823529411,3174_3190_3196_3198_3213_3216_3220_3221_3228_3240_3244_3283_3287_3292_3298_3307_3327,2598_2611_2624_2627_2655_2664_2668_2670_2679_2680_2682_2725_2729_2742_2764_2766_2773,2.66872998264687_0.735522726847743_1.08238159715139_1.01554806241123_0.903879252962475_0.705156471965253_0.39321104538073_0.410488328886678_0.838391990295551_-2.0_-2.0_-2.0_0.493901776951509_1.32077462877448_0.867033253315489_0.796156348454894_0.539082882515611,0.11038961038961038,0.09659090909090909,0,0,0
2,4,5,3158,3029,2817,2917,0.00,16,0.914687314522028,0.8520996309375846,-0.2,0.2,0.5333333333333333,0.7333333333333333,0.7333333333333333,0.8,0.8666666666666667,0.9333333333333333,3158_3131_3123_3116_3109_3108_3103_3102_3098_3096_3092_3090_3089_3086_3078_3029,2817_2841_2844_2846_2860_2871_2875_2876_2883_2884_2895_2896_2900_2902_2913_2917,0.732830317396654_0.349022437266924_1.10771833638868_1.15549561046609_1.22591504085885_0.928425718368248_1.28434511502513_0.820609422498017_0.914687314522028_0.984843026656597_0.756091876149729_0.507935167679708_0.522304469941067_-2.0_0.441265953536825_1.05000465730922,0.12307692307692308,0.15841584158415842,0,0,0
3,4,5,1755,1591,1565,1696,0.00,13,0.951602730549818,1.202923302921973,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.8333333333333334,1.0,1.0,1.0,1.0,1755_1747_1707_1704_1687_1683_1673_1652_1651_1640_1635_1634_1591,1565_1574_1623_1628_1637_1639_1649_1668_1671_1687_1689_1693_1696,1.11678506435664_-2.0_-2.0_-2.0_0.513695794813482_0.936455373218629_0.787235170582569_2.34726018454777_0.905364342932488_2.13799495377185_0.966750087881007_0.577038204962745_1.74065385215255,0.07878787878787878,0.09848484848484848,0,0,0
4,4,5,2412,2535,2470,2586,0.00,7,0.7053885050179125,0.7567346163482945,-0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,1.0,2412_2422_2423_2446_2490_2524_2535,2470_2484_2485_2517_2538_2554_2586,1.27662280535775_-2.0_0.427420574419169_0.371346754910194_0.620760237225835_0.79001677280999_1.05424055336683,0.056451612903225805,0.05982905982905983,0,0,0
5,4,5,1863,1882,2917,3044,0.00,6,0.8130455266199015,0.8018535712973295,0.0,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,1863_1865_1869_1876_1878_1882,2917_2928_2948_2993_2995_3044,1.03540251761242_0.541914179584614_0.908531476178526_0.717559577061277_1.0994606317433_0.50825304560384,0.3,0.046875,0,0,0
6,4,5,2513,2558,3004,3054,0.00,6,1.24138603762274,1.1529834064033024,-0.16666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,2513_2533_2535_2543_2552_2558,3004_3031_3032_3045_3049_3054,0.625093044771921_1.62774915032785_1.68713389944412_0.495152268630443_1.17695974635222_1.30581232889326,0.13043478260869565,0.11764705882352941,0,0,0
7,4,5,1680,1619,380,416,0.00,6,0.741198173624434,0.8666997479307257,0.2,0.2,0.4,0.4,0.8,0.8,1.0,1.0,1680_1679_1678_1677_1665_1619,380_382_386_396_400_416,0.729128392701458_0.76258365725994_0.587494593255917_0.741198173624434_-2.0_1.51309392281188,0.0967741935483871,0.16216216216216217,0,0,0
8,4,5,1533,1437,6362,6401,0.00,6,0.786971111993031,0.7423149912047473,-0.6,0.2,0.4,0.4,0.4,0.8,1.0,1.0,1533_1494_1492_1489_1486_1437,6362_6397_6398_6399_6400_6401,0.890053093677164_0.566138152729289_0.462766473327823_0.786971111993031_1.00564612429643_-2.0,0.061855670103092786,0.15,0,0,0
9,4,5,709,582,2003,2080,0.00,6,0.834261077243733,1.010433768828015,-0.4,-0.2,0.4,0.6,0.6,0.6,1.0,1.0,709_700_685_656_632_582,2003_2018_2036_2047_2070_2080,0.743396229736002_0.925308721994704_1.99767030039854_0.813685083232459_0.727705206351377_0.854837071255007,0.046875,0.07692307692307693,0,0,0
10,4,5,2817,2704,2954,2999,0.00,5,1.15646208319163,1.1304734518663038,-0.25,0.0,0.0,0.5,0.5,0.75,0.75,1.0,2817_2770_2755_2754_2704,2954_2989_2994_2995_2999,1.26849380392971_1.45576691534459_0.753202725737365_1.04443036245355_-2.0,0.043859649122807015,0.10869565217391304,0,0,0
