CSR1:El1:0-1260:Ac1:1193-1671	CSR1:El1:0-1260:Ac11:0-911	CSR1:El1:0-1260:Ac16:0-758
CSR2:El1:1108-2308:Ac4:181-510	CSR2:El1:1108-2308:Ac7:0-768	CSR2:El1:1108-2308:Ac9:0-628
CSR3:El1:1411-2308:Ac4:509-789	CSR3:El1:1411-2308:Ac7:886-1182	CSR3:El1:1411-2308:Ac9:806-1138
CSR4:El2:0-465:Ac1:656-1074	CSR4:El2:0-465:Ac1:1074-1492	CSR4:El2:0-465:Ac5:521-936
CSR5:El2:464-1101:Ac17:0-875	CSR5:El2:464-1101:Ac20:0-752	CSR5:El2:464-1101:Ac21:0-771
CSR6:El2:1101-1495:Ac2:0-1263	CSR6:El2:1101-1495:Ac6:0-1083	CSR6:El2:1101-1495:Ac20:0-752
CSR7:El2:1494-1788:Ac12:800-1048	CSR7:El2:1494-1788:Ac14:0-923	CSR7:El2:1494-1788:Ac18:0-850
CSR8:El2:1787-2101:Ac13:0-823	CSR8:El2:1787-2101:Ac18:0-850	CSR8:El2:1787-2101:Ac23:0-645
CSR8:El2:1787-2101:Ac12:0-271
CSR9:El3:0-993:Ac5:0-1232	CSR9:El3:0-993:Ac10:0-886	CSR9:El3:0-993:Ac12:0-1048
CSR10:El3:739-1590:Ac1:0-835	CSR10:El3:992-1590:Ac12:388-801	CSR10:El3:739-1590:Ac15:97-900
CSR11:El3:1590-1823:Ac1:0-298	CSR11:El3:1590-1823:Ac12:329-683	CSR11:El3:1590-1823:Ac15:0-280
CSR12:El4:0-1522:Ac3:0-1278	CSR12:El4:0-1522:Ac8:0-1105	CSR12:El4:0-1522:Ac9:509-984
CSR13:El5:0-876:Ac4:0-1286	CSR13:El5:0-876:Ac14:0-923	CSR13:El5:0-876:Ac18:0-850
CSR14:El5:876-1662:Ac12:0-389	CSR14:El5:876-1662:Ac13:0-823	CSR14:El5:876-1662:Ac23:0-645
CSR15:El6:0-324:Ac4:303-607	CSR15:El6:0-324:Ac7:0-768	CSR15:El6:0-324:Ac9:0-688
CSR16:El6:323-526:Ac4:424-910	CSR16:El6:323-526:Ac7:886-1182	CSR16:El6:323-526:Ac9:865-1138
CSR17:El6:526-1144:Ac1:1193-1671	CSR17:El6:526-1144:Ac11:0-911	CSR17:El6:526-1144:Ac16:0-758
CSR18:El7:0-635:Ac5:0-1232	CSR18:El7:0-635:Ac10:0-886	CSR18:El7:0-635:Ac12:0-1048
CSR19:El7:574-948:Ac1:0-382	CSR19:El7:635-847:Ac12:388-683	CSR19:El7:635-847:Ac15:97-900
CSR20:El7:745-1099:Ac1:1193-1611	CSR20:El7:745-1099:Ac1:1611-1802	CSR20:El7:745-1099:Ac5:402-936
CSR21:El7:997-1250:Ac12:800-1048	CSR21:El7:997-1250:Ac14:0-308	CSR21:El7:997-1250:Ac19:420-735
CSR22:El8:0-505:Ac1:1193-1611	CSR22:El8:0-505:Ac1:1611-1802	CSR22:El8:0-505:Ac5:402-936
CSR23:El8:505-899:Ac12:682-1048	CSR23:El8:505-899:Ac14:0-923	CSR23:El8:505-899:Ac19:0-735
CSR24:El8:899-1263:Ac2:0-1263	CSR24:El8:899-1263:Ac6:0-1083	CSR24:El8:899-1263:Ac20:0-752
CSR25:El9:0-963:Ac17:0-875	CSR25:El9:0-963:Ac20:0-752	CSR25:El9:0-963:Ac21:0-771
CSR26:El10:0-602:Ac12:0-330	CSR26:El10:0-602:Ac13:0-823	CSR26:El10:0-602:Ac23:0-645
CSR27:El10:250-502:Ac12:859-1048	CSR27:El10:250-502:Ac14:0-249	CSR27:El10:250-502:Ac19:478-735
CSR28:El10:501-1004:Ac2:285-1263	CSR28:El10:501-1004:Ac6:0-1083	CSR28:El10:501-1004:Ac20:393-752
CSR29:El10:903-1114:Ac1:0-358	CSR29:El10:903-1114:Ac12:329-683	CSR29:El10:903-1114:Ac15:0-280
CSR30:El11:0-852:Ac3:0-1278	CSR30:El11:0-852:Ac8:0-1105	CSR30:El11:0-852:Ac9:509-984
CSR31:El12:0-1025:Ac7:650-1182	CSR31:El12:0-1025:Ac22:0-778	CSR31:El12:0-1025:Ac24:0-419	CSR31:El12:0-1025:Ac25:0-449
CSR32:El13:0-303:Ac1:0-418	CSR32:El13:0-303:Ac12:329-742	CSR32:El13:0-303:Ac15:158-645
CSR33:El13:303-849:Ac1:0-955	CSR33:El13:303-849:Ac12:329-801	CSR33:El13:303-849:Ac15:97-900
CSR34:El14:0-827:Ac4:0-1286	CSR34:El14:0-827:Ac14:0-923	CSR34:El14:0-827:Ac18:0-850
CSR35:El15:0-268:Ac1:0-477	CSR35:El15:0-247:Ac12:329-742	CSR35:El15:0-247:Ac15:158-645
CSR36:El15:247-763:Ac2:464-1060	CSR36:El15:247-763:Ac6:300-782	CSR36:El15:247-763:Ac20:393-752
CSR37:El16:0-726:Ac7:650-1182	CSR37:El16:0-726:Ac22:0-778	CSR37:El16:0-726:Ac24:0-419	CSR37:El16:0-726:Ac25:0-449
