num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,1,5,8,247,576,704,0.00,31,1.59043476881344,1.4414154137619608,0.8064516129032258,0.9354838709677419,0.967741935483871,0.967741935483871,0.967741935483871,0.967741935483871,1.0,1.0,8_19_22_26_32_35_36_38_41_42_44_46_65_91_102_131_137_140_144_147_153_159_160_162_172_173_180_182_201_246_247,576_584_585_586_591_592_594_596_598_599_600_601_615_628_629_643_644_658_659_661_663_665_666_667_668_669_670_671_672_701_704,1.62696353212158_-2.0_-2.0_1.15091120971204_-2.0_-2.0_1.34199404321038_1.59747926274528_0.628802324493038_1.41066543684304_-2.0_1.02093975032181_1.59043476881344_-2.0_1.84192591679016_1.4722063580639_1.61776361764362_1.60663198432173_0.696019918785306_-2.0_0.977030733758719_1.79996506203844_1.52632929589484_2.77522535383151_-2.0_0.615635739655256_1.13312695172217_1.63938349025509_1.7894851002572_1.66589682193433_1.62773784331222,0.12916666666666668,0.24031007751937986,1,1,0
2,1,5,280,161,683,727,0.00,27,1.42545310104449,1.478190544397173,0.5384615384615384,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,280_275_273_272_266_263_262_261_260_258_255_253_247_242_241_237_236_232_231_220_218_217_216_215_214_211_161,683_685_686_687_688_689_690_691_692_694_698_699_704_710_711_712_713_715_716_717_718_720_721_722_723_725_727,1.58265990025994_0.712305392316099_1.91072380201173_0.988322864034584_1.42491324499502_1.15604834088735_2.50158450307453_1.15135842471586_1.0838472022144_-2.0_-2.0_-2.0_1.62773784331222_2.68798065615846_1.42599295709396_-2.0_2.18333493165227_-2.0_0.437546908863472_-2.0_1.59751363212447_1.21770147138655_1.20042355481521_1.73828548094275_1.12378309887482_1.81174667820977_-2.0,0.225,0.6,1,1,0
3,1,5,2692,2479,872,966,0.00,23,1.45815492834791,1.5827465549977562,0.7272727272727273,0.9090909090909091,0.9545454545454546,1.0,1.0,1.0,1.0,1.0,2692_2683_2682_2681_2680_2672_2661_2660_2641_2630_2624_2619_2597_2594_2572_2564_2562_2561_2558_2555_2544_2529_2479,872_875_877_878_879_884_887_888_894_898_900_901_902_904_914_916_917_918_919_920_923_964_966,2.19818251816959_4.33018126973528_1.7992679558173_1.82281384837795_1.7314650857464_-2.0_0.82950111363786_-2.0_1.30431640890371_0.876306037952736_1.61714786364606_1.39733730600742_1.54684579297298_1.60630429307597_0.782735565812821_1.45815492834791_3.13790717608155_1.27074376413198_1.29563677766314_-2.0_0.791543253782718_0.275793585093988_-2.0,0.10747663551401869,0.24210526315789474,1,1,0
4,1,5,723,470,782,858,0.00,16,1.30326918596833,1.5439898821875033,0.7333333333333333,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,723_695_692_651_642_639_633_631_623_585_558_514_509_505_502_470,782_798_800_815_816_817_818_819_821_823_829_841_855_856_857_858,0.975945673557415_1.43370422808777_1.30326918596833_1.57285583908443_1.15548726479971_1.9168937893202_1.26255370451822_-2.0_1.14746988226658_-2.0_2.22716234070628_2.87022581694826_-2.0_1.11832097880534_-2.0_-2.0,0.06299212598425197,0.2077922077922078,1,1,0
5,1,5,1167,1400,695,777,0.00,14,1.232111622722735,1.2733940844390756,0.35714285714285715,0.6428571428571429,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.8571428571428571,1.0,1.0,1167_1186_1224_1241_1246_1258_1268_1290_1301_1310_1331_1341_1351_1400,695_731_734_738_740_741_758_760_761_762_763_769_773_777,0.526225345827949_1.89507583192992_1.1151009146883_-2.0_1.25810274211944_1.19534277524917_1.93111948571807_0.562532560448127_-2.0_1.78410804307949_0.45860186215926_1.68000142770328_1.20612050332603_1.66839752101987,0.05982905982905983,0.1686746987951807,1,1,0
6,1,5,723,811,782,807,0.00,9,1.16899199716638,1.1145558907989737,0.7777777777777778,0.8888888888888888,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,723_728_729_761_764_768_778_808_811,782_783_784_786_787_788_789_806_807,0.975945673557415_1.66631297855953_1.28287762785678_1.22812424233873_-2.0_1.01893642310859_0.460702293005391_-2.0_1.16899199716638,0.10112359550561797,0.34615384615384615,1,1,0
7,1,5,1270,1133,729,749,0.00,8,1.16018816658957,1.3191492502937563,0.5714285714285714,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1270_1269_1267_1263_1246_1216_1167_1133,729_730_731_732_740_743_748_749,1.16018816658957_0.862229650216583_2.13061549139939_0.980231497315061_1.25810274211944_1.76146393225217_1.08121327216408_-2.0,0.057971014492753624,0.38095238095238093,1,1,0
8,1,5,2329,2248,847,882,0.00,7,1.65533561432598,1.7729575629377774,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2329_2317_2314_2306_2299_2298_2248,847_851_860_871_880_881_882,2.05372548837476_2.30456173502259_-2.0_1.2569457402772_0.855419108969354_1.18389889377416_2.9831944112086,0.08536585365853659,0.19444444444444445,1,1,0
9,1,5,1439,1351,749,781,0.00,5,1.66839752101987,1.6163372043754514,0.25,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1439_1406_1403_1400_1351,749_775_776_777_781,1.74308936691761_3.07045836165056_0.746480954644952_1.66839752101987_0.853259817644264,0.056179775280898875,0.15151515151515152,1,1,0
10,1,16,210,468,1148,1231,0.00,39,1.52710082531725,1.6183208544232643,0.8205128205128205,0.9487179487179487,0.9487179487179487,0.9743589743589743,1.0,1.0,1.0,1.0,210_214_223_224_230_232_233_234_235_236_241_242_246_253_257_258_262_263_264_265_266_273_276_281_282_289_294_298_300_331_336_337_346_366_377_391_418_464_468,1148_1149_1154_1155_1157_1158_1159_1162_1163_1164_1165_1166_1172_1175_1178_1179_1181_1182_1183_1184_1185_1187_1188_1189_1190_1192_1193_1194_1195_1197_1198_1199_1200_1214_1215_1221_1228_1230_1231,0.675552998646588_1.1170400110247_-2.0_5.48854932906437_1.36836244120363_-2.0_1.07145719470721_0.919661214794742_-2.0_1.39127042012169_1.73743120217246_2.97244436649434_1.56562509983052_-2.0_0.432449205478232_2.20292168743804_1.693044824102_1.13126660862551_-2.0_-2.0_2.32734972012611_1.6571778098689_-2.0_1.51885362698107_-2.0_1.23285493071635_-2.0_-2.0_2.15016354768143_0.520294790297437_1.67747890940782_1.61639254932159_-2.0_1.53534802365343_1.23183649237467_1.55567752453439_-2.0_1.28583768633764_-2.0,0.15057915057915058,0.4642857142857143,1,2,0
11,1,16,206,8,1223,1349,0.00,31,1.545742012074245,1.630197777100033,0.41935483870967744,0.8064516129032258,0.8387096774193549,0.9032258064516129,0.9032258064516129,0.9354838709677419,0.967741935483871,1.0,206_205_203_202_199_193_189_183_182_180_176_175_162_160_159_155_151_147_144_139_99_55_45_44_38_26_22_19_15_13_8,1223_1237_1240_1242_1245_1249_1251_1257_1258_1259_1260_1261_1262_1263_1264_1266_1268_1269_1271_1272_1282_1307_1312_1333_1334_1340_1342_1343_1344_1346_1349,-2.0_1.24614446214745_0.896746691902078_1.89310695086446_1.28433722307763_-2.0_-2.0_1.26501368472446_1.26591528681219_1.71240496361755_-2.0_2.0537042110881_1.61256979755454_1.36051506366304_1.83522128866791_-2.0_1.76020415368888_1.68042258576343_2.562886113373_1.85988418212135_0.902789430639154_0.95639836469762_3.76577164096766_1.85476114187222_-2.0_1.33878869161837_-2.0_-2.0_-2.0_1.27785094074569_1.47891422659395,0.15577889447236182,0.2440944881889764,1,2,0
12,1,16,1372,1142,1072,1141,0.00,19,1.16360023326251,1.1934473834293613,0.6111111111111112,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.9444444444444444,1.0,1.0,1.0,1372_1345_1343_1339_1329_1328_1327_1312_1308_1296_1290_1283_1263_1260_1224_1223_1186_1168_1142,1072_1081_1082_1084_1085_1089_1090_1091_1094_1103_1104_1105_1120_1121_1123_1124_1132_1140_1141,-2.0_1.3240105272662_1.72426791810728_1.14960192506733_0.596158091588719_1.11279387594553_-2.0_-2.0_1.44785384071655_1.43161672739763_0.737532768817894_-2.0_1.16360023326251_-2.0_-2.0_0.236870107039743_2.20361520251359_-2.0_-2.0,0.08225108225108226,0.2714285714285714,1,2,0
13,1,16,618,704,1035,1062,0.00,11,1.3880473998402598,1.4640921655936765,0.5454545454545454,1.0,1.0,1.0,1.0,1.0,1.0,1.0,618_623_629_633_639_664_667_674_678_692_704,1035_1038_1041_1042_1044_1049_1051_1052_1054_1057_1062,1.82254989507942_1.34445313708472_-2.0_-2.0_0.902850947270212_1.05220848042708_1.4316416625958_1.22944944423869_2.3111169618682_1.61846679618529_-2.0,0.12643678160919541,0.39285714285714285,1,2,0
14,1,16,2612,2686,1361,1400,0.00,9,1.509159397946595,1.476926309693181,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2612_2616_2620_2640_2644_2667_2677_2682_2686,1361_1362_1368_1371_1376_1377_1381_1382_1400,1.94739702534196_1.42065839560324_0.86288172366402_-2.0_1.67565986002917_1.59766040028995_1.93122844728857_1.08321851207434_1.2967061132542,0.12,0.225,1,2,0
15,1,16,2627,2550,1358,1370,0.00,6,1.21612853138048,1.3168924632034418,0.4,0.8,1.0,1.0,1.0,1.0,1.0,1.0,2627_2626_2623_2616_2600_2550,1358_1359_1360_1362_1369_1370,1.19832087829189_1.14933109593721_1.87456219429177_1.42065839560324_1.23393618446907_1.02454603062747,0.07692307692307693,0.46153846153846156,1,2,0
16,1,16,2584,2598,996,1003,0.03,5,1.400005707136575,1.565349965028465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2584_2587_2591_2593_2598,996_999_1001_1002_1003,1.51570900124867_-2.0_2.5874906593737_1.28430241302448_0.873897786467011,0.3333333333333333,0.625,1,2,0
17,1,1,1893,1665,2002,2142,0.00,37,1.2788503375342701,1.416771073878014,0.6944444444444444,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1893_1885_1884_1882_1864_1858_1855_1853_1852_1846_1841_1839_1838_1837_1833_1832_1828_1807_1806_1803_1799_1795_1790_1772_1769_1768_1766_1761_1750_1740_1739_1736_1720_1711_1706_1705_1665,2002_2028_2043_2046_2048_2050_2072_2077_2078_2079_2080_2082_2083_2084_2085_2087_2088_2093_2094_2095_2097_2102_2104_2106_2107_2108_2110_2119_2121_2126_2127_2129_2132_2135_2138_2140_2142,-2.0_2.37361763829736_3.18477988229373_2.18742988549902_0.682428085292927_1.12222968903855_0.698260756109985_1.21746768173184_1.81951938927773_0.817314654768444_1.04469473506773_-2.0_-2.0_1.32681071700703_0.957754080785601_1.15588586023474_1.20008194318006_1.4799471052248_2.00458799534271_0.798774368474003_1.23088995806151_1.43067261140668_0.750639903702532_-2.0_2.45149596046901_-2.0_1.00093239630853_2.24084398916526_-2.0_0.825443385850854_1.68329576362529_1.34473234391029_-2.0_1.35285222815968_0.909064166829389_1.79926795581733_1.4114170854078,0.1615720524017467,0.2624113475177305,2,3,0
18,1,1,1897,2059,1881,1966,0.00,20,1.167820169991015,1.2645322792817097,0.7,0.8,0.8,0.85,0.95,1.0,1.0,1.0,1897_1902_1926_1936_1946_1947_1949_1951_1958_1962_1966_1967_1968_1969_1973_2009_2041_2044_2056_2059,1881_1882_1892_1899_1901_1902_1904_1905_1906_1909_1916_1918_1919_1920_1923_1928_1955_1957_1963_1966,1.872291408556_1.66996871204565_0.690348039946527_-2.0_1.03117223712564_-2.0_-2.0_0.904035198070362_1.52741839762401_0.948102064577882_1.94425754504268_-2.0_-2.0_0.413660015487824_1.21965207332279_-2.0_0.469307935700213_1.11598826665924_2.51537459525529_1.38187542052983,0.12269938650306748,0.23255813953488372,2,3,0
19,1,1,2137,2221,1300,1346,0.00,19,1.397742785190725,1.3930210594047976,0.631578947368421,0.8421052631578947,0.8947368421052632,0.9473684210526315,0.9473684210526315,1.0,1.0,1.0,2137_2139_2152_2158_2168_2180_2189_2194_2200_2202_2203_2205_2206_2207_2208_2210_2215_2216_2221,1300_1302_1305_1315_1318_1321_1322_1323_1324_1325_1327_1329_1330_1331_1333_1335_1336_1337_1346,0.886943372129534_1.04092636505547_-2.0_0.514319852958766_1.63240827907401_2.26344973765062_1.28418258206775_0.836696785394741_0.97610337660811_1.14591603410249_1.70864048154931_1.93771639277255_1.04966732410755_2.08102884385962_1.60699919481434_0.693792918814752_1.5113029883137_1.83608305506447_2.06820148494857,0.2235294117647059,0.40425531914893614,2,3,0
20,1,1,2096,1964,1927,2000,0.00,16,1.35028383237506,1.4042725953078816,0.7333333333333333,0.8666666666666667,0.8666666666666667,0.9333333333333333,1.0,1.0,1.0,1.0,2096_2091_2086_2083_2080_2075_2070_2067_2066_2044_2038_2036_2028_2021_2014_1964,1927_1928_1934_1935_1937_1944_1947_1951_1952_1957_1973_1981_1988_1992_1997_2000,-2.0_-2.0_1.28879182216699_2.06288957115853_2.16869067263779_-2.0_1.48796150471632_0.996959425713045_0.941094887669595_1.11598826665924_0.336502881595617_-2.0_1.35028383237506_2.34085235061857_-2.0_1.35698333307594,0.12030075187969924,0.21621621621621623,2,3,0
21,1,1,1162,899,2167,2256,0.00,14,1.199770831483415,1.268635724793582,0.6153846153846154,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1162_1156_1149_1141_1105_1096_1060_1025_1013_999_966_944_933_899,2167_2168_2170_2171_2173_2175_2176_2187_2205_2243_2250_2251_2255_2256,-2.0_1.8566074960117_1.08332635287994_0.649220410881832_0.626942630187918_1.25408144257488_1.14546022039195_-2.0_1.48730744169794_-2.0_-2.0_1.85822541784419_1.08662789838102_1.63855793708445,0.05303030303030303,0.15555555555555556,2,3,0
22,1,1,1698,1554,1844,1875,0.00,9,1.14102917931718,1.2730587700953675,0.625,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1698_1696_1695_1680_1665_1643_1604_1603_1554,1844_1846_1847_1851_1858_1860_1865_1874_1875,1.41373932920166_-2.0_-2.0_0.714938986928385_1.14102917931718_1.82521001655034_2.14776133195197_0.690777869247877_0.97795467747016,0.06206896551724138,0.28125,2,3,0
23,1,1,1617,1481,1776,1874,0.00,9,1.121375147671939,1.08129643925917,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1617_1591_1576_1575_1563_1555_1537_1531_1481,1776_1796_1801_1804_1805_1809_1836_1870_1874,-2.0_-2.0_1.28450409369796_1.26691723085401_-2.0_0.975833064489868_-2.0_-2.0_0.797931367994842,0.06569343065693431,0.09090909090909091,2,3,0
24,1,1,2267,2133,2019,2077,0.00,8,1.39174833611116,1.2658800418836496,0.2857142857142857,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,2267_2262_2261_2259_2254_2212_2183_2133,2019_2024_2026_2039_2042_2067_2076_2077,1.71751720824405_0.658288842815937_1.00920284094107_1.39174833611116_1.82080538874044_0.811919297887788_1.4516783784451_-2.0,0.05925925925925926,0.13559322033898305,2,3,0
25,1,1,835,944,2181,2258,0.00,8,1.38079965861527,1.697329567538592,0.375,0.625,0.875,0.875,0.875,0.875,1.0,1.0,835_841_867_906_920_932_933_944,2181_2191_2201_2219_2226_2233_2255_2258,1.0207324148517_-2.0_3.20645719854515_1.38079965861527_-2.0_-2.0_1.08662789838102_1.79203066729982,0.07272727272727272,0.10256410256410256,2,3,0
