num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,2,14,1514,1383,600,693,0.00,6,1.649293395454035,1.6364189100962907,-1.0,-0.8,-0.8,-0.6,-0.4,0.2,0.2,0.4,1514_1497_1473_1465_1425_1383,600_639_644_670_680_693,1.68041449057482_3.04172624745454_2.12762599652499_0.288859152133625_1.61817230033325_1.06171527355652,0.045454545454545456,0.06382978723404255,0,0,0
2,2,14,2096,1974,591,658,0.00,6,1.08928669041015,1.2883234712076999,-0.2,-0.2,0.2,0.4,0.8,0.8,1.0,1.0,2096_2068_2058_2042_2022_1974,591_619_627_642_651_658,2.42918048347697_1.08928669041015_1.37415597960906_0.941578469208504_0.607415733333815_-2.0,0.04878048780487805,0.08823529411764706,0,0,0
3,2,14,2023,1860,783,827,0.00,5,1.021484024231824,1.1845296964996452,0.0,0.5,0.5,0.75,1.0,1.0,1.0,1.0,2023_1993_1950_1910_1860,783_785_799_825_827,0.808423182798963_0.954902277273508_1.88672755473597_-2.0_1.08806577119014,0.03048780487804878,0.1111111111111111,0,0,0
4,2,14,1974,1886,484,561,0.00,5,1.275197501575305,1.1812031809383958,-0.5,-0.5,0.0,0.25,0.5,0.5,0.75,0.75,1974_1954_1934_1931_1886,484_485_524_558_561,0.575733963329553_1.22793121110386_1.59868375727342_1.32246379204675_-2.0,0.056179775280898875,0.0641025641025641,0,0,0
5,2,14,1094,1191,211,298,0.19,4,1.6690781153595449,1.6691678886306052,-1.0,-0.75,-0.5,-0.5,-0.25,0.25,0.5,0.5,1094_1128_1178_1191,211_256_287_298,1.48280001308295_1.7793398208292_1.85571531072038_1.55881640988989,0.04081632653061224,0.045454545454545456,0,0,0
6,7,15,1141,1190,135,173,0.00,19,1.24308534871534,1.1811586580405333,0.5789473684210527,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1141_1144_1145_1146_1147_1156_1160_1161_1162_1164_1166_1170_1176_1178_1180_1181_1182_1189_1190,135_136_137_138_139_143_147_148_149_150_153_155_161_162_163_164_165_166_173,1.81782988319921_1.31725890074457_0.708726511897142_0.839025225294016_1.24308534871534_1.19472330320495_0.872165057670933_0.970511774250352_1.13570217490687_1.29997469107202_0.901089680233575_1.34055831017267_1.97207662194578_1.25904418556927_1.26915336383666_0.514586320253116_1.63352950246115_1.38108781555986_0.771885831782646,0.38,0.48717948717948717,0,0,0
7,7,15,1036,930,128,203,0.00,14,1.2862402058898,1.3890478756568172,0.38461538461538464,0.6153846153846154,0.7692307692307693,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,1.0,1036_1020_1001_997_994_985_982_981_979_973_972_965_964_930,128_173_187_188_190_192_194_195_197_199_200_201_202_203,1.99299035597004_1.24367105745265_2.14647921253084_1.06464000656116_1.33610612974923_0.960933701877245_2.10315722839334_0.791009992828006_1.51425800068791_1.13302906826602_1.32880935432695_1.05349039923842_-2.0_-2.0,0.1308411214953271,0.18421052631578946,0,0,0
8,7,15,1303,1242,70,96,0.00,7,1.131165357566275,1.0691351806024434,0.5,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1303_1298_1296_1295_1293_1291_1242,70_85_89_90_92_93_96,0.773917338778512_1.36731823955902_1.16283751592605_1.12424124545161_0.848407274218528_1.13808946968094_-2.0,0.11290322580645161,0.25925925925925924,0,0,0
9,7,15,95,174,454,478,0.05,6,1.139485820076692,1.0968521637119362,-0.3333333333333333,-0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8333333333333334,95_103_115_153_173_174,454_457_467_475_477_478,1.5113556032984_1.3939982414755_0.75977533647174_1.28411253790057_0.637012160872593_0.994859102252814,0.075,0.24,0,0,0
10,7,15,597,678,172,237,0.00,6,1.76444903518877,1.5148450989513713,-0.3333333333333333,-0.3333333333333333,0.0,0.0,0.5,0.5,0.8333333333333334,0.8333333333333334,597_602_633_669_670_678,172_174_203_216_218_237,1.74864760767685_-2.0_2.04453057057295_-2.0_1.78025046270069_0.485951754854995,0.07317073170731707,0.09090909090909091,0,0,0
11,7,15,263,144,425,480,0.00,6,1.221358752966405,1.2372126132200771,0.2,0.6,0.6,0.6,1.0,1.0,1.0,1.0,263_221_209_174_173_144,425_449_450_477_478_480,1.14860727822329_0.975579140761292_1.92349051779922_1.29411022770952_0.551823060173001_1.52966545465414,0.05,0.10714285714285714,0,0,0
12,7,15,104,6,568,650,0.01,5,1.324082041164425,1.2581598672760173,-0.2,-0.2,0.2,0.4,0.8,0.8,1.0,1.0,104_65_49_17_6,568_596_630_643_650,1.66066471474253_0.723810672032689_-2.0_1.4358561090933_1.21230797323555,0.050505050505050504,0.060240963855421686,0,0,0
