num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,1,11,1304,1209,431,485,0.00,8,1.0340164179939475,1.0330266181276362,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,1.0,1.0,1304_1295_1291_1286_1274_1261_1259_1209,431_434_435_439_445_483_484_485,0.926342240134893_1.32797823314908_1.43794546598364_0.980456789307035_0.752701207394041_1.15284122472436_0.59837173764718_1.08757604668086,0.08333333333333333,0.14545454545454545,0,0,0
2,1,11,2517,2612,553,630,0.01,5,1.16706894879661,1.33158744019023,-0.6,-0.6,-0.2,0.2,0.4,0.4,0.6,1.0,2517_2543_2579_2611_2612,553_576_607_611_630,1.11231266174028_1.16706894879661_1.30244481593951_0.99408261790941_2.08202815656534,0.052083333333333336,0.0641025641025641,0,0,0
3,1,11,831,769,145,166,0.00,5,1.031122690218785,0.9012415596983909,0.25,0.5,0.75,1.0,1.0,1.0,1.0,1.0,831_830_827_817_769,145_146_152_154_166,-2.0_1.16016524482918_1.02658060803071_0.382555613526814_1.03566477240686,0.07936507936507936,0.22727272727272727,0,0,0
4,8,19,41,199,212,329,0.01,6,1.35734188304437,1.4791051428003101,-0.3333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.5,0.5,0.6666666666666666,41_63_101_130_171_199,212_223_232_244_287_329,1.35734188304437_1.75652288582157_-2.0_2.88937827625747_0.984605208194207_0.407677460683933,0.03773584905660377,0.05084745762711865,0,0,0
5,3,3,1890,2178,4,274,0.00,81,1.0810756361626952,1.174545609493154,0.5432098765432098,0.7530864197530864,0.8271604938271605,0.8641975308641975,0.9259259259259259,0.9382716049382716,0.9753086419753086,0.9753086419753086,1890_1891_1897_1898_1899_1900_1902_1909_1920_1923_1930_1936_1938_1949_1952_1953_1968_1971_1973_1974_1982_1983_1985_1990_2000_2007_2017_2018_2027_2029_2031_2037_2041_2045_2048_2049_2054_2059_2060_2062_2063_2066_2067_2069_2070_2073_2076_2085_2086_2090_2097_2101_2103_2105_2107_2108_2111_2113_2128_2130_2142_2144_2145_2146_2148_2150_2151_2154_2156_2157_2160_2162_2165_2167_2169_2170_2172_2173_2174_2177_2178,4_8_11_13_14_16_18_21_31_32_33_36_39_41_45_47_49_82_84_85_87_88_90_91_106_120_125_127_132_135_137_139_142_144_146_147_151_161_163_167_168_171_172_177_179_180_181_190_192_193_198_202_209_210_211_214_217_220_221_222_226_227_229_232_235_238_241_244_247_248_250_252_254_255_257_260_262_264_268_272_274,1.41712204483143_1.27068521361786_0.60042792274326_0.715242117694266_1.5310634953765_0.907447044839266_0.701731738987962_1.35955621984315_1.87422993841422_1.05140247119664_0.93469192217389_-2.0_-2.0_0.337603161119818_1.70767437319652_-2.0_1.07489293899694_0.710730946318673_1.1478141668872_0.597462354871911_1.32302844712239_0.507888658995313_0.960533920884235_1.46523990249894_1.20174092708792_1.72393280369738_1.85326315322049_1.08539829643705_1.29026855558451_1.07675297588834_1.14305341577532_1.0963964086867_0.598642487808664_-2.0_0.66016649751579_0.741937766556101_1.06612236042921_-2.0_1.01364690085644_1.1313353252933_2.07756419401626_1.22563956159247_1.84611729369655_1.49977962286863_0.52431454698317_0.698078229639685_1.69892197983772_1.17876483918811_0.977681392854184_0.972153451050665_0.730604196742751_1.06951981963045_0.530814906195766_1.69920481077374_0.861303174509231_0.794136791622075_1.35670117413099_0.842565816620701_0.370016125394026_1.69145096023959_3.32037437046112_2.63726422118421_0.968591826160644_0.89713040741467_3.76485494401802_-2.0_0.541018990724404_0.78376047045401_1.60239046313704_1.46457391264699_1.12064961718563_-2.0_0.848074028683378_1.18723362055329_0.644770205553079_1.26656860555894_1.21222756418403_1.05986686925614_0.675363303882323_1.21420091811383_1.18300100028727,0.28027681660899656,0.2988929889298893,0,0,0
6,3,3,1818,1688,272,511,0.00,31,0.952460381732554,1.0648607637064937,0.6333333333333333,0.8333333333333334,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9666666666666667,1.0,1.0,1818_1813_1805_1804_1803_1798_1793_1791_1790_1788_1786_1780_1778_1777_1773_1770_1766_1764_1763_1761_1760_1758_1755_1753_1752_1750_1747_1744_1742_1738_1688,272_316_361_397_398_402_406_408_410_413_415_428_430_431_435_439_442_446_448_453_455_460_461_464_466_470_471_472_473_503_511,1.09495151092608_0.611126536177316_1.9095232975262_0.744054549043561_0.955811648311021_0.848125440871467_1.17587393370123_0.919497210957197_0.441787716382856_1.72950928202757_1.43347088712241_-2.0_0.646768466510469_1.31452828037203_1.37034495979902_0.590286363159705_0.953962894932652_0.913707594318145_0.950957868532456_1.33444447984787_1.84393304547597_1.47525025072597_1.84512998981723_0.67829345847331_0.854389990358571_1.19714451426306_1.07709743446003_0.793989281365068_0.432515184244108_0.921658112629508_0.887688728862726,0.2366412213740458,0.12916666666666668,0,0,0
7,3,3,450,517,275,337,0.00,27,1.18608581023379,1.350557954353529,0.7777777777777778,1.0,1.0,1.0,1.0,1.0,1.0,1.0,450_453_455_457_459_462_465_466_468_469_474_484_485_486_488_490_491_492_493_495_498_499_503_504_505_513_517,275_276_277_279_280_287_288_289_290_291_296_298_301_302_304_305_306_307_308_309_313_318_322_323_324_330_337,1.14624133331862_1.12482826713719_1.14682707325741_1.18608581023379_1.52840180401891_2.96975224417161_1.01543921093785_0.781184467700223_1.82263971324832_1.15072620944896_1.04846636616967_1.20072998041257_1.21749591439196_1.21622488914595_0.901201776746655_1.96634627022561_1.601135208726_2.9618779238745_0.972228015629959_0.679617026343518_1.06233438079491_1.22409699272713_0.976321551104493_1.28974213149504_1.45974446210783_2.19906343079219_0.616312313384421,0.39705882352941174,0.42857142857142855,0,0,0
8,3,3,1743,1638,264,360,0.00,7,1.53717405810556,1.4721671908361138,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,1743_1714_1690_1689_1687_1684_1638,264_298_341_342_345_355_360,1.8545731972217_1.04428005539721_2.26783379417977_0.946977968891456_1.53717405810556_1.09899029644602_1.55534096561108,0.0660377358490566,0.07216494845360824,0,0,0
9,3,3,1455,1552,214,268,0.68,5,0.82713868428677,0.9575275607858146,0.0,0.2,0.4,0.8,0.8,0.8,0.8,1.0,1455_1469_1501_1502_1552,214_244_245_246_268,0.939083722478792_0.809718282317566_0.808208952678725_1.40348816216722_0.82713868428677,0.05102040816326531,0.09090909090909091,0,0,0
10,3,3,501,337,264,342,0.00,5,1.01543921093785,0.9647570762556641,0.25,0.5,0.75,1.0,1.0,1.0,1.0,1.0,501_465_431_385_337,264_288_328_341_342,-2.0_1.01543921093785_-2.0_0.851111502999052_1.02772051483009,0.030303030303030304,0.06329113924050633,0,0,0
