num,chr1,chr2,start1,end1,start2,end2,pvalue,length,ks_median,ks_average,hocv1,hocv2,hocv3,hocv4,hocv5,hocv6,hocv7,hocv8,block1,block2,ks,density1,density2,CSR,module,Ts
1,8,1,1096,524,2807,3236,0.00,147,1.13612778174114,1.1498929442004424,0.5753424657534246,0.773972602739726,0.863013698630137,0.910958904109589,0.9383561643835616,0.9452054794520548,0.9657534246575342,0.9794520547945206,1096_1095_1083_1078_1077_1071_1062_1061_1059_1058_1057_1055_1054_1053_1052_1047_1046_1045_1043_1041_1040_1026_1016_1015_1014_1013_1012_1008_1003_1000_992_987_986_985_984_982_980_978_975_973_972_955_944_940_938_935_934_933_932_929_924_920_918_917_913_909_906_904_897_894_890_889_881_873_872_869_866_864_856_855_854_850_842_840_831_829_826_824_822_821_820_819_817_815_813_812_811_807_806_803_802_801_795_785_781_780_752_738_735_724_718_708_703_701_699_695_690_689_683_682_681_663_660_657_654_653_648_647_642_636_631_630_627_625_623_622_620_617_616_612_610_609_604_602_597_595_593_591_588_581_579_578_577_576_574_572_524,2807_2809_2811_2813_2815_2816_2818_2821_2824_2825_2826_2827_2828_2829_2830_2834_2835_2837_2844_2846_2849_2851_2852_2854_2858_2876_2878_2881_2885_2887_2891_2899_2900_2904_2905_2907_2911_2918_2920_2921_2922_2929_2936_2937_2938_2941_2942_2943_2944_2947_2949_2951_2952_2954_2957_2963_2964_2968_2975_2976_2978_2979_2984_2988_2989_2992_2996_3009_3021_3022_3023_3033_3044_3045_3048_3051_3053_3055_3056_3057_3063_3070_3080_3082_3084_3085_3086_3087_3089_3092_3093_3094_3096_3101_3102_3103_3105_3118_3119_3125_3126_3132_3136_3138_3140_3142_3144_3145_3146_3147_3148_3151_3155_3157_3158_3160_3161_3162_3167_3169_3173_3176_3185_3187_3189_3190_3192_3193_3197_3199_3200_3202_3203_3204_3207_3209_3212_3214_3215_3218_3219_3220_3221_3222_3225_3226_3236,0.471098299861254_0.97853194062088_1.24632537478543_-2.0_1.38523503424018_1.13851303082229_0.574546219275059_1.30562849337565_1.54315252971884_1.33816772890452_1.67332306328874_1.49968617438587_2.47041165998257_1.39792274804585_1.0351437802135_2.01179478023168_1.80391886141089_0.802637285360696_1.29101099663444_0.839605155469369_1.53473696962079_2.11734751828383_1.66487266124714_0.983596757275044_0.79798600190216_0.554760819878249_0.896596585993518_0.369254532535051_1.21156359065632_1.21653296173289_0.538374369630861_1.27582882571994_1.57834673421092_1.05051151100855_1.38355526534258_1.44131014006339_1.33806754986644_1.95901911027006_0.736621068871047_2.10498724288984_1.22577547160748_1.07759289385082_0.558974019324061_1.26491641183392_1.05251946129258_0.854104360118509_1.32837030626848_1.75478187714511_1.95396567861387_0.565248604406298_0.970158616892923_0.510221102956989_0.84029152017621_1.26240304700528_0.58840814451593_0.814299992081376_0.794305321551483_0.8272523063142_1.10038581986357_1.3624755615007_0.824553511302383_0.564854318390939_0.689080028591803_1.91687696034747_1.45335866505454_0.572717703642545_0.834029420328033_1.00683123904683_1.30948524867555_0.628891048722817_0.965890716229978_0.671456365747802_0.97476588182654_0.768767949007967_1.53646590043964_1.69678712569562_1.31076495240507_1.3335805350448_0.993047871907841_1.14824415443236_0.819346322075159_0.603192081846475_1.35901018786476_1.05988850480901_1.18859016340436_1.09294173858967_0.738767986981437_0.580049428338892_1.25633528380296_0.698076980759428_1.25552347857117_1.25006582092874_2.06911689485672_1.37725484553347_1.04248896783631_0.567576381183739_1.64616353310819_0.500248444010811_0.647640098957509_1.43400893931938_2.25634562844856_0.360597943440379_0.623214368351887_0.874351299866932_0.744049100153521_1.56078985918063_1.01439895886901_1.01940080284827_1.16818841311788_1.13751981308887_0.740826995983783_0.307879750594682_2.60264268986181_1.48324911056929_0.644218990620148_1.13473575039341_0.824763075098936_0.852002315518381_1.1555959799705_1.16322940074764_1.34424321108226_1.73661637337246_0.479683076505455_1.91716175811959_2.53737098177331_2.48661289754108_-2.0_0.667559072026843_2.24436351376743_-2.0_1.23911436474848_1.41138265657022_0.98258467822282_0.602420996890678_0.634008677285587_0.580079705475624_0.973762284710452_0.907607462124042_1.1617715884789_1.34639491270801_1.34669721128313_1.60295634179217_0.85394582928184_1.1580528169211_1.17335850573414_1.16424381084645_0.710881420312256,0.25654450261780104,0.34186046511627904,0,0,0
2,8,1,24,435,1921,2390,0.00,146,1.171779126297005,1.2195228598306425,0.7534246575342466,0.8698630136986302,0.9178082191780822,0.958904109589041,0.9794520547945206,0.9794520547945206,0.9863013698630136,0.9931506849315068,24_35_37_38_39_43_44_45_46_47_48_50_51_52_54_55_57_58_63_64_65_67_68_70_73_75_77_79_81_93_104_106_109_110_111_112_114_117_118_122_124_125_126_127_129_130_131_133_134_135_141_142_143_144_145_146_147_148_149_150_151_152_155_156_157_159_160_161_162_163_164_167_168_177_179_181_182_183_184_185_192_193_195_198_199_200_202_207_208_210_214_217_218_223_224_225_227_228_233_234_235_236_237_241_253_254_255_257_259_261_263_265_266_270_272_273_284_286_287_289_291_292_295_298_299_301_307_311_315_321_322_325_327_328_348_354_355_370_377_378_386_391_392_429_431_435,1921_1926_1928_1929_1930_1932_1933_1934_1935_1936_1937_1942_1943_1946_1949_1950_1952_1957_1960_1961_1962_1963_1964_1965_1966_1968_1970_1974_1981_1995_2010_2013_2016_2017_2023_2025_2026_2030_2031_2032_2035_2036_2039_2042_2043_2049_2052_2057_2058_2062_2065_2069_2070_2074_2076_2077_2078_2081_2082_2083_2086_2087_2093_2094_2098_2103_2115_2119_2120_2121_2123_2127_2129_2134_2140_2142_2146_2148_2149_2150_2156_2159_2161_2162_2163_2165_2166_2171_2172_2175_2188_2192_2193_2194_2196_2197_2198_2199_2203_2204_2205_2208_2209_2217_2222_2223_2224_2225_2226_2227_2238_2243_2246_2257_2258_2260_2262_2263_2266_2267_2271_2272_2274_2280_2282_2284_2291_2296_2301_2302_2304_2307_2309_2310_2335_2337_2338_2348_2357_2359_2362_2373_2376_2388_2389_2390,1.84990360507269_0.937187486683491_0.842002392780087_1.29421808523626_1.06790309623349_1.04319782852803_1.3236434262331_0.714389752627961_2.17409926170953_0.374704495408759_1.40574627667359_1.31319384397011_0.978949910424927_0.821454660439531_1.42856250774654_0.703654379002101_0.633312462503799_2.02929650088621_1.61495707011657_2.08894899256397_1.22186580809641_0.718002646200623_1.29022111198255_1.43699016627846_1.97532759503951_1.00164855746445_1.8673921593969_1.13852112152445_1.38649060140707_1.04727475405399_2.73970483845452_1.2523286190823_1.82316328152605_1.11616525105138_-2.0_0.916245949447334_1.83822125100168_1.40454186489391_0.261411552833235_0.682222662734262_1.97399262179414_1.99548597165572_0.651521937434023_1.25581005076841_1.40225974856199_0.479754533672645_1.10379796016469_2.49078154127602_0.726149968384318_0.882223795809051_1.5841226948725_0.902269740431589_0.747922423946047_1.00150146850079_1.12753473089625_1.77186007527259_1.23904752893961_1.4312273411259_2.41445606083621_1.29832535128711_2.0931855553166_1.31678882944687_0.741609672501328_0.703124350116554_0.715009955488419_0.638114243089336_1.11666144370013_0.953443934953983_1.56815583936992_1.58824161527382_1.32714801976511_0.721192868327864_1.28969776723488_1.36748611023215_1.13193729832703_1.2146067284007_1.3465518453799_0.312738235466874_1.05045966566499_1.48777517585302_1.15334702458168_0.936544365981304_1.43948462740203_1.12034658095762_1.16181910776556_0.592398978012879_0.749436239478644_0.838988345353635_1.1175297656671_0.971589050964261_1.12101255408653_1.524722842934_1.33185600190691_0.505832471567696_1.11284454420358_1.60104618631474_1.16994261738504_1.17425885051842_1.58257623692114_1.17361563520897_0.963929281693188_2.00904798591806_0.970833198759028_1.28236530425398_2.06627579201831_0.91886587831078_1.48645139602743_1.29960247657119_0.657908786704285_1.22761306757597_1.34978622050188_0.748770308788_1.070827341733_1.04582332688471_1.42680118438614_0.733319125331978_2.13247818527863_1.34331921271089_0.572710418748901_1.30525151282137_1.45632283227652_1.02945331096155_1.32023711540838_0.729146500686337_1.44711262323029_0.991923921703408_1.34080822156485_0.47374201516379_0.726980705570539_1.16225129225715_0.450221886710665_1.67419849383901_0.962335402815337_1.1544347450227_1.70967262295259_1.22724113386107_1.05400691706793_0.386335880198507_0.804907389942013_1.22873877116893_-2.0_0.847167124783236_1.23146256644134_2.69360853609275_1.24776182793032_2.34900741888493,0.35436893203883496,0.31063829787234043,0,0,0
3,8,1,430,207,4993,5121,0.00,46,1.26859113384582,1.3411765888037952,0.7555555555555555,0.8666666666666667,0.9777777777777777,0.9777777777777777,0.9777777777777777,1.0,1.0,1.0,430_424_406_397_392_391_374_373_370_365_364_360_353_351_348_337_332_327_325_324_310_308_307_306_304_303_300_299_297_296_293_291_287_286_282_279_278_277_272_271_270_262_256_255_254_207,4993_5000_5003_5008_5010_5011_5014_5018_5021_5024_5026_5027_5033_5034_5035_5036_5039_5052_5053_5055_5060_5061_5065_5070_5071_5072_5074_5075_5079_5081_5084_5086_5088_5091_5093_5097_5100_5103_5105_5107_5108_5112_5115_5119_5120_5121,1.56399231587414_-2.0_0.938317895652688_0.735562033212977_1.50908780421931_0.696504580063022_1.30339662612078_1.29197869600748_0.481997927399861_0.787591745021953_1.44154501478575_0.577598106045514_1.64872250705399_1.97902509222556_1.19022379243653_1.17231180153753_1.02630337450395_1.34558638719039_2.22480554167928_1.09004452096729_1.12204599134103_0.749508799369452_1.39580265350394_1.2058441201198_1.94992053361508_1.27662057650509_0.761804301111564_0.730925668264388_1.26859113384582_3.03359223216912_0.967620685525262_1.52029275752581_0.640931467324219_2.25453566344939_1.147100986737_1.34530740244862_0.598110142122881_0.918881258982407_3.14178637326849_2.46935769753159_0.932031442959637_2.60524685914488_1.3083157535615_1.329134491462_1.00649557666748_1.66854616561634,0.20535714285714285,0.35658914728682173,0,0,0
4,8,1,909,613,5023,5255,0.00,37,0.992859503280797,1.0180360982928454,0.5555555555555556,0.7222222222222222,0.7222222222222222,0.8055555555555556,0.8055555555555556,0.9166666666666666,0.9166666666666666,0.9444444444444444,909_874_850_818_801_800_799_798_794_792_790_789_788_787_784_781_780_778_758_748_747_746_745_744_743_742_736_733_731_729_728_723_718_717_712_663_613,5023_5051_5065_5104_5121_5122_5123_5125_5128_5129_5130_5131_5133_5134_5138_5142_5144_5147_5158_5171_5178_5179_5180_5181_5182_5183_5184_5185_5188_5189_5190_5199_5201_5202_5215_5254_5255,0.558243576537439_1.02695191763095_0.555022143312306_0.895719337945642_1.13688167876689_0.638595147976418_1.32592488220618_1.01900521410396_1.14693433683996_0.839645303375273_1.81621889988038_0.640681749555011_0.413668294954245_0.597223181670993_1.21683801044498_-2.0_0.584532172409322_1.19605316687605_0.997366734854905_0.786120170780791_2.18436717236232_0.440939227995689_1.12620535210715_0.839986735803229_1.13680280269371_2.22720331572972_1.07425177315217_1.13401103595505_0.736874970754607_0.912514042193406_0.360681647045998_0.988352271706689_1.66479414497031_0.918289798872126_1.69674974424851_0.729004998297413_1.08664458453264,0.12457912457912458,0.15879828326180256,0,0,0
5,8,1,806,981,5384,5446,0.00,22,1.066966375146945,1.1315108617272291,0.6818181818181818,0.8181818181818182,0.8636363636363636,0.9090909090909091,0.9545454545454546,0.9545454545454546,0.9545454545454546,1.0,806_808_810_817_822_823_824_825_831_840_843_850_864_865_884_888_893_894_906_908_931_981,5384_5387_5388_5390_5401_5402_5403_5404_5407_5412_5414_5416_5422_5423_5430_5432_5433_5435_5437_5439_5441_5446,0.382634878124097_1.40888639236387_1.25163393006112_1.84664004588331_1.01957320261393_0.648045676519287_1.48071324617359_1.3157345905_1.41579259311736_0.525937078058025_0.696609727253569_0.455999053576904_1.11292952843437_1.36875892737643_0.943408551871601_0.923218284060036_0.987052503979895_0.69711203682856_1.02100322185952_1.19529892540195_1.52911553038728_2.66714103355434,0.125,0.3492063492063492,0,0,0
6,8,1,610,524,5297,5332,0.00,18,1.18443648296907,1.2986716386040746,0.6470588235294118,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,610_609_608_606_604_601_596_594_593_592_589_588_584_581_577_573_570_524,5297_5298_5299_5301_5303_5305_5313_5315_5317_5318_5319_5320_5321_5322_5323_5325_5327_5332,1.28012004189367_0.915228599377736_1.35154800754265_0.558199225866727_0.851440739176425_1.33586004819877_0.547694821598789_2.3566206804655_0.669294102225224_1.16729409795961_2.94028134445221_0.984012705390337_1.21893638884556_2.59795007390019_1.20157886797853_0.828832000290294_1.71739374679196_0.853804002919162,0.20689655172413793,0.5,0,0,0
7,8,1,33,208,5332,5373,0.00,17,1.11518706082913,1.0716502553242617,0.5882352941176471,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,33_35_37_39_52_68_70_103_106_115_140_173_181_187_190_198_208,5332_5333_5336_5337_5343_5346_5347_5348_5354_5357_5358_5360_5361_5363_5364_5372_5373,0.54213544816817_0.795581598347261_0.643496896523052_1.09099059063111_0.753313635306156_1.33849961045518_1.0689153980986_1.1260446235542_1.2145878837949_1.14931569425782_1.38634110967846_1.06461848282406_1.51974878727441_1.03501856107972_1.11518706082913_1.14110185461611_1.23315710507411,0.09659090909090909,0.40476190476190477,0,0,0
9,8,1,1059,954,66,109,0.00,7,0.887470040075462,1.1784312895557043,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1059_1041_1032_1019_1011_1004_954,66_69_72_76_77_86_109,2.42376757178866_0.833478382364008_1.49953491221056_0.629762190102014_0.742582983082067_0.941461697786916_-2.0,0.0660377358490566,0.1590909090909091,0,0,0
10,8,1,528,442,2617,2664,0.00,6,1.292597742160385,1.2188024334637022,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,528_516_513_492_490_442,2617_2635_2636_2640_2657_2664,1.21901728790383_0.741675993121781_1.82235058857807_0.228026136000602_1.93556639876099_1.36617819641694,0.06896551724137931,0.125,0,0,0
11,8,1,172,17,3528,3658,0.00,6,1.32273241548881,1.2855361208165248,-0.4,0.0,0.4,0.4,0.6,0.6,1.0,1.0,172_143_107_75_66_17,3528_3566_3589_3613_3637_3658,1.32273241548881_1.34552479401595_-2.0_1.90565439603753_1.01325562952263_0.840513369017704,0.038461538461538464,0.04580152671755725,0,0,0
